,TIME,OFNS_DESC,COUNT
15461,09:00:00, PETIT LARCENY,17853
17185,10:00:00, PETIT LARCENY,17623
15443,09:00:00, GRAND LARCENY,16390
18980,11:00:00, PETIT LARCENY,15462
13778,08:00:00, PETIT LARCENY,15078
53,00:01:00, CRIMINAL MISCHIEF & RELATED OF,13546
64,00:01:00, GRAND LARCENY,13429
17170,10:00:00, HARRASSMENT 2,12975
18963,11:00:00, HARRASSMENT 2,12868
15445,09:00:00, HARRASSMENT 2,11832
