,TIME,OFNS_DESC,COUNT
31890,22:06:00, OTHER STATE LAWS NON PENAL LA,1
25158,17:50:00, FRAUDULENT ACCOSTING,1
34287,23:38:00, OFFENSES RELATED TO CHILDREN,1
33159,22:55:00, LOITERING/GAMBLING CARDS DIC,1
25149,17:50:00, CHILD ABANDONMENT/NON SUPPORT,1
33164,22:55:00, OFFENSES AGAINST PUBLIC SAFETY,1
25145,17:50:00, ARSON,1
34283,23:38:00, NYS LAWS-UNCLASSIFIED FELONY,1
25144,17:50:00, ALCOHOLIC BEVERAGE CONTROL LAW,1
25143,17:50:00, AGRICULTURE & MRKTS LAW-UNCLASSIFIED,1
