,TIME,OFNS_DESC,COUNT
10722,08:11:00, BURGLARY,1
4006,02:37:00, OTHER OFFENSES RELATED TO THEF,1
4003,02:37:00, MISCELLANEOUS PENAL LAW,1
10118,07:40:00, KIDNAPPING & RELATED OFFENSES,1
10125,07:40:00, OTHER STATE LAWS NON PENAL LA,1
10132,07:41:00, ADMINISTRATIVE CODE,1
3990,02:36:00, VEHICLE AND TRAFFIC LAWS,1
10136,07:41:00, DANGEROUS DRUGS,1
10137,07:41:00, ESCAPE 3,1
3986,02:36:00, OFFENSES AGAINST THE PERSON,1
