,TIME,OFNS_DESC,COUNT
32141,17:45:00, DISRUPTION OF A RELIGIOUS SERV,1
32920,18:08:00, GRAND LARCENY OF MOTOR VEHICLE,1
23794,13:33:00, INTOXICATED & IMPAIRED DRIVING,1
32909,18:08:00," ""BURGLARS TOOLS""",1
23796,13:33:00, NYS LAWS-UNCLASSIFIED FELONY,1
32905,18:07:00, UNAUTHORIZED USE OF A VEHICLE,1
32899,18:07:00, OTHER STATE LAWS NON PENAL LA,1
23801,13:33:00, OTHER OFFENSES RELATED TO THEF,1
32890,18:07:00, GRAND LARCENY OF MOTOR VEHICLE,1
32880,18:07:00," ""BURGLARS TOOLS""",1
