,TIME,OFNS_DESC,COUNT
26815,18:54:00, HOMICIDE-NEGLIGENT-VEHICLE,1
8216,05:51:00, ROBBERY,1
8217,05:51:00, THEFT-FRAUD,1
8218,05:51:00, VEHICLE AND TRAFFIC LAWS,1
8221,05:52:00," ""BURGLARS TOOLS""",1
8222,05:52:00, BURGLARY,1
8223,05:52:00, CRIMINAL MISCHIEF & RELATED OF,1
8224,05:52:00, CRIMINAL TRESPASS,1
27042,19:02:00, OFFENSES AGAINST THE PERSON,1
8230,05:52:00, MISCELLANEOUS PENAL LAW,1
