,TIME,OFNS_DESC,COUNT
17659,14:33:00, THEFT-FRAUD,1
26562,21:06:00, CRIMINAL TRESPASS,1
23108,18:35:00, OFFENSES AGAINST THE PERSON,1
26560,21:06:00, BURGLARY,1
17103,14:09:00," ""BURGLARS TOOLS""",1
23110,18:35:00, OTHER OFFENSES RELATED TO THEF,1
23111,18:35:00, OTHER STATE LAWS NON PENAL LA,1
23120,18:36:00," ""BURGLARS TOOLS""",1
19609,15:59:00, VEHICLE AND TRAFFIC LAWS,1
26557,21:06:00, ADMINISTRATIVE CODE,1
