,TIME,OFNS_DESC,COUNT
7114,05:31:00, GRAND LARCENY OF MOTOR VEHICLE,1
7305,05:44:00, CRIMINAL MISCHIEF & RELATED OF,1
7303,05:44:00," ""BURGLARS TOOLS""",1
7299,05:43:00, ROBBERY,1
7297,05:43:00, OTHER OFFENSES RELATED TO THEF,1
7296,05:43:00, OFFENSES AGAINST THE PERSON,1
7290,05:43:00, CRIMINAL TRESPASS,1
7288,05:43:00," ""BURGLARS TOOLS""",1
7286,05:43:00, ARSON,1
7285,05:42:00, UNAUTHORIZED USE OF A VEHICLE,1
