,TIME,OFNS_DESC,COUNT
11325,09:00:00, PETIT LARCENY,3234
12585,10:00:00, PETIT LARCENY,3143
13914,11:00:00, HARRASSMENT 2,2885
10106,08:00:00, PETIT LARCENY,2861
12572,10:00:00, HARRASSMENT 2,2769
13926,11:00:00, PETIT LARCENY,2731
11312,09:00:00, HARRASSMENT 2,2537
10094,08:00:00, HARRASSMENT 2,2306
11310,09:00:00, GRAND LARCENY,2233
10081,08:00:00, CRIMINAL MISCHIEF & RELATED OF,2092
