,TIME,OFNS_DESC,COUNT
15930,12:00:00, GRAND LARCENY,9033
25603,18:00:00, PETIT LARCENY,7818
20700,15:00:00, PETIT LARCENY,7813
23959,17:00:00, PETIT LARCENY,7731
15947,12:00:00, PETIT LARCENY,7588
22292,16:00:00, PETIT LARCENY,7466
19103,14:00:00, PETIT LARCENY,6727
27223,19:00:00, PETIT LARCENY,6663
17510,13:00:00, PETIT LARCENY,6020
28796,20:00:00, PETIT LARCENY,5911
