,TIME,OFNS_DESC,COUNT
24221,18:00:00, PETIT LARCENY,4628
19659,15:00:00, PETIT LARCENY,4486
15327,12:00:00, PETIT LARCENY,4382
19646,15:00:00, HARRASSMENT 2,4276
27353,20:00:00, PETIT LARCENY,4181
22669,17:00:00, PETIT LARCENY,4166
21151,16:00:00, PETIT LARCENY,4111
25783,19:00:00, PETIT LARCENY,4046
15314,12:00:00, HARRASSMENT 2,3721
27325,20:00:00, CRIMINAL MISCHIEF & RELATED OF,3676
