,TIME,OFNS_DESC,COUNT
6210,10:00:00, PETIT LARCENY,1058
35,00:01:00, CRIMINAL MISCHIEF & RELATED OF,1050
5541,09:00:00, PETIT LARCENY,963
4967,08:00:00, PETIT LARCENY,935
6198,10:00:00, HARRASSMENT 2,934
6929,11:00:00, HARRASSMENT 2,928
851,01:00:00, CRIMINAL MISCHIEF & RELATED OF,873
5529,09:00:00, HARRASSMENT 2,873
4948,08:00:00, CRIMINAL MISCHIEF & RELATED OF,859
4957,08:00:00, HARRASSMENT 2,824
