,DAY,OFNS_DESC,COUNT
246,6, CRIMINAL MISCHIEF & RELATED OF,3541
548,12, CRIMINAL MISCHIEF & RELATED OF,3535
54,2, CRIMINAL MISCHIEF & RELATED OF,3509
395,9, CRIMINAL MISCHIEF & RELATED OF,3503
101,3, CRIMINAL MISCHIEF & RELATED OF,3465
1418,30, DANGEROUS DRUGS,3459
1364,29, CRIMINAL MISCHIEF & RELATED OF,3376
1416,30, CRIMINAL MISCHIEF & RELATED OF,3374
27,1, OFF. AGNST PUB ORD SENSBLTY &,3170
19,1, GRAND LARCENY,2835
1491,31, PETIT LARCENY,2682
1461,31, ASSAULT 3 & RELATED OFFENSES,2633
1477,31, HARRASSMENT 2,2609
962,20, OFF. AGNST PUB ORD SENSBLTY &,2448
718,15, OFF. AGNST PUB ORD SENSBLTY &,2362
470,10, OFF. AGNST PUB ORD SENSBLTY &,2312
768,16, OFF. AGNST PUB ORD SENSBLTY &,2186
219,5, OFF. AGNST PUB ORD SENSBLTY &,2183
668,14, OFF. AGNST PUB ORD SENSBLTY &,2182
1199,25, OFF. AGNST PUB ORD SENSBLTY &,2182
864,18, OFF. AGNST PUB ORD SENSBLTY &,2180
418,9, OFF. AGNST PUB ORD SENSBLTY &,2180
268,6, OFF. AGNST PUB ORD SENSBLTY &,2172
122,3, OFF. AGNST PUB ORD SENSBLTY &,2158
570,12, OFF. AGNST PUB ORD SENSBLTY &,2134
816,17, OFF. AGNST PUB ORD SENSBLTY &,2133
1338,28, OFF. AGNST PUB ORD SENSBLTY &,2125
620,13, OFF. AGNST PUB ORD SENSBLTY &,2123
1012,21, OFF. AGNST PUB ORD SENSBLTY &,2119
1465,31, CRIMINAL MISCHIEF & RELATED OF,2113
171,4, OFF. AGNST PUB ORD SENSBLTY &,2111
75,2, OFF. AGNST PUB ORD SENSBLTY &,2102
1289,27, OFF. AGNST PUB ORD SENSBLTY &,2100
1106,23, OFF. AGNST PUB ORD SENSBLTY &,2095
320,7, OFF. AGNST PUB ORD SENSBLTY &,2088
708,15, GRAND LARCENY,2082
368,8, OFF. AGNST PUB ORD SENSBLTY &,2081
1152,24, OFF. AGNST PUB ORD SENSBLTY &,2068
1058,22, OFF. AGNST PUB ORD SENSBLTY &,2056
912,19, OFF. AGNST PUB ORD SENSBLTY &,2055
1244,26, OFF. AGNST PUB ORD SENSBLTY &,2046
519,11, OFF. AGNST PUB ORD SENSBLTY &,2040
210,5, GRAND LARCENY,1990
1437,30, OFF. AGNST PUB ORD SENSBLTY &,1985
1467,31, DANGEROUS DRUGS,1965
806,17, GRAND LARCENY,1964
1389,29, OFF. AGNST PUB ORD SENSBLTY &,1941
408,9, GRAND LARCENY,1926
458,10, GRAND LARCENY,1925
1329,28, GRAND LARCENY,1923
1096,23, GRAND LARCENY,1919
855,18, GRAND LARCENY,1917
659,14, GRAND LARCENY,1910
951,20, GRAND LARCENY,1904
1051,22, GRAND LARCENY,1904
112,3, GRAND LARCENY,1903
560,12, GRAND LARCENY,1888
66,2, GRAND LARCENY,1886
14,1, FELONY ASSAULT,1886
758,16, GRAND LARCENY,1883
258,6, GRAND LARCENY,1881
1281,27, GRAND LARCENY,1878
508,11, GRAND LARCENY,1878
1144,24, GRAND LARCENY,1873
308,7, GRAND LARCENY,1852
1003,21, GRAND LARCENY,1845
1427,30, GRAND LARCENY,1825
604,13, FELONY ASSAULT,1821
160,4, GRAND LARCENY,1820
358,8, GRAND LARCENY,1814
1231,26, FELONY ASSAULT,1808
609,13, GRAND LARCENY,1803
1324,28, FELONY ASSAULT,1794
903,19, GRAND LARCENY,1779
1276,27, FELONY ASSAULT,1775
1191,25, GRAND LARCENY,1774
1046,22, FELONY ASSAULT,1773
402,9, FELONY ASSAULT,1772
253,6, FELONY ASSAULT,1766
1139,24, FELONY ASSAULT,1761
1377,29, GRAND LARCENY,1751
1236,26, GRAND LARCENY,1747
998,21, FELONY ASSAULT,1744
303,7, FELONY ASSAULT,1741
155,4, FELONY ASSAULT,1738
946,20, FELONY ASSAULT,1734
503,11, FELONY ASSAULT,1726
61,2, FELONY ASSAULT,1724
107,3, FELONY ASSAULT,1722
1186,25, FELONY ASSAULT,1718
205,5, FELONY ASSAULT,1709
898,19, FELONY ASSAULT,1705
801,17, FELONY ASSAULT,1697
703,15, FELONY ASSAULT,1697
1118,23, ROBBERY,1694
453,10, FELONY ASSAULT,1687
1025,21, ROBBERY,1684
975,20, ROBBERY,1683
1091,23, FELONY ASSAULT,1665
555,12, FELONY ASSAULT,1664
1372,29, FELONY ASSAULT,1663
654,14, FELONY ASSAULT,1663
353,8, FELONY ASSAULT,1656
753,16, FELONY ASSAULT,1649
850,18, FELONY ASSAULT,1647
40,1, ROBBERY,1634
1070,22, ROBBERY,1633
1164,24, ROBBERY,1629
924,19, ROBBERY,1629
1422,30, FELONY ASSAULT,1620
730,15, ROBBERY,1618
1211,25, ROBBERY,1612
1256,26, ROBBERY,1595
583,12, ROBBERY,1583
1350,28, ROBBERY,1582
632,13, ROBBERY,1577
781,16, ROBBERY,1569
828,17, ROBBERY,1566
533,11, ROBBERY,1556
681,14, ROBBERY,1553
