,DAY,OFNS_DESC,COUNT
646,18, OFF. AGNST PUB ORD SENSBLTY &,653
682,19, OFF. AGNST PUB ORD SENSBLTY &,652
136,4, OFF. AGNST PUB ORD SENSBLTY &,648
388,11, OFF. AGNST PUB ORD SENSBLTY &,648
210,6, OFF. AGNST PUB ORD SENSBLTY &,647
15,1, GRAND LARCENY,637
353,10, OFF. AGNST PUB ORD SENSBLTY &,636
423,12, OFF. AGNST PUB ORD SENSBLTY &,631
971,27, OFF. AGNST PUB ORD SENSBLTY &,630
789,22, OFF. AGNST PUB ORD SENSBLTY &,627
754,21, OFF. AGNST PUB ORD SENSBLTY &,626
318,9, OFF. AGNST PUB ORD SENSBLTY &,623
282,8, OFF. AGNST PUB ORD SENSBLTY &,622
861,24, OFF. AGNST PUB ORD SENSBLTY &,616
502,14, OFF. AGNST PUB ORD SENSBLTY &,612
935,26, OFF. AGNST PUB ORD SENSBLTY &,603
1044,29, OFF. AGNST PUB ORD SENSBLTY &,603
826,23, OFF. AGNST PUB ORD SENSBLTY &,585
1081,30, OFF. AGNST PUB ORD SENSBLTY &,580
1098,31, ASSAULT 3 & RELATED OFFENSES,467
711,20, GRAND LARCENY,451
639,18, GRAND LARCENY,438
532,15, GRAND LARCENY,432
568,16, GRAND LARCENY,427
494,14, GRAND LARCENY,420
233,7, DANGEROUS DRUGS,419
160,5, DANGEROUS DRUGS,415
597,17, DANGEROUS DRUGS,411
275,8, GRAND LARCENY,408
347,10, GRAND LARCENY,408
704,20, DANGEROUS DRUGS,408
411,12, DANGEROUS DRUGS,407
742,21, DANGEROUS DRUGS,405
122,4, DANGEROUS DRUGS,404
416,12, GRAND LARCENY,404
196,6, DANGEROUS DRUGS,404
92,3, GRAND LARCENY,403
48,2, DANGEROUS DRUGS,403
84,3, DANGEROUS DRUGS,402
487,14, DANGEROUS DRUGS,401
526,15, DANGEROUS DRUGS,399
632,18, DANGEROUS DRUGS,398
561,16, DANGEROUS DRUGS,397
127,4, GRAND LARCENY,396
448,13, DANGEROUS DRUGS,396
776,22, DANGEROUS DRUGS,395
311,9, GRAND LARCENY,395
339,10, DANGEROUS DRUGS,394
782,22, GRAND LARCENY,394
202,6, GRAND LARCENY,393
854,24, GRAND LARCENY,391
269,8, DANGEROUS DRUGS,391
381,11, GRAND LARCENY,391
1073,30, GRAND LARCENY,390
747,21, GRAND LARCENY,390
304,9, DANGEROUS DRUGS,389
374,11, DANGEROUS DRUGS,386
1001,28, GRAND LARCENY,384
964,27, GRAND LARCENY,383
166,5, GRAND LARCENY,381
9,1, DANGEROUS DRUGS,379
240,7, GRAND LARCENY,379
674,19, GRAND LARCENY,378
814,23, DANGEROUS DRUGS,374
53,2, GRAND LARCENY,372
668,19, DANGEROUS DRUGS,369
927,26, GRAND LARCENY,368
820,23, GRAND LARCENY,366
604,17, GRAND LARCENY,364
883,25, DANGEROUS DRUGS,363
1115,31, OFF. AGNST PUB ORD SENSBLTY &,358
958,27, DANGEROUS DRUGS,355
1037,29, GRAND LARCENY,354
454,13, GRAND LARCENY,349
847,24, DANGEROUS DRUGS,348
891,25, GRAND LARCENY,345
994,28, DANGEROUS DRUGS,345
922,26, DANGEROUS DRUGS,339
1067,30, DANGEROUS DRUGS,334
1030,29, DANGEROUS DRUGS,312
211,6, OFFENSES AGAINST PUBLIC ADMINI,278
35,1, THEFT-FRAUD,276
576,16, OFFENSES AGAINST PUBLIC ADMINI,270
991,28, BURGLARY,267
247,7, OFFENSES AGAINST PUBLIC ADMINI,266
811,23, BURGLARY,264
844,24, BURGLARY,263
683,19, OFFENSES AGAINST PUBLIC ADMINI,262
1027,29, BURGLARY,261
5,1, BURGLARY,260
444,13, BURGLARY,259
719,20, OFFENSES AGAINST PUBLIC ADMINI,258
540,15, OFFENSES AGAINST PUBLIC ADMINI,258
283,8, OFFENSES AGAINST PUBLIC ADMINI,257
612,17, OFFENSES AGAINST PUBLIC ADMINI,256
192,6, BURGLARY,254
301,9, BURGLARY,253
354,10, OFFENSES AGAINST PUBLIC ADMINI,253
424,12, OFFENSES AGAINST PUBLIC ADMINI,252
484,14, BURGLARY,250
594,17, BURGLARY,250
738,21, BURGLARY,249
790,22, OFFENSES AGAINST PUBLIC ADMINI,248
100,3, OFFENSES AGAINST PUBLIC ADMINI,247
24,1, OFFENSES AGAINST PUBLIC ADMINI,246
755,21, OFFENSES AGAINST PUBLIC ADMINI,243
319,9, OFFENSES AGAINST PUBLIC ADMINI,243
827,23, OFFENSES AGAINST PUBLIC ADMINI,243
370,11, BURGLARY,242
701,20, BURGLARY,242
629,18, BURGLARY,242
137,4, OFFENSES AGAINST PUBLIC ADMINI,239
174,5, OFFENSES AGAINST PUBLIC ADMINI,238
1064,30, BURGLARY,237
523,15, BURGLARY,234
955,27, BURGLARY,234
862,24, OFFENSES AGAINST PUBLIC ADMINI,234
61,2, OFFENSES AGAINST PUBLIC ADMINI,234
336,10, BURGLARY,233
230,7, BURGLARY,231
972,27, OFFENSES AGAINST PUBLIC ADMINI,229
44,2, BURGLARY,229
558,16, BURGLARY,228
119,4, BURGLARY,227
266,8, BURGLARY,227
919,26, BURGLARY,227
635,18, FELONY ASSAULT,226
11,1, FELONY ASSAULT,226
408,12, BURGLARY,226
377,11, FELONY ASSAULT,225
272,8, FELONY ASSAULT,225
664,19, BURGLARY,224
132,4, INTOXICATED & IMPAIRED DRIVING,224
206,6, INTOXICATED & IMPAIRED DRIVING,224
463,13, OFFENSES AGAINST PUBLIC ADMINI,223
1045,29, OFFENSES AGAINST PUBLIC ADMINI,223
900,25, OFFENSES AGAINST PUBLIC ADMINI,221
1082,30, OFFENSES AGAINST PUBLIC ADMINI,221
1108,31, GRAND LARCENY,221
503,14, OFFENSES AGAINST PUBLIC ADMINI,220
773,22, BURGLARY,220
528,15, FELONY ASSAULT,219
457,13, INTOXICATED & IMPAIRED DRIVING,219
389,11, OFFENSES AGAINST PUBLIC ADMINI,218
879,25, BURGLARY,217
1008,28, OFFENSES AGAINST PUBLIC ADMINI,217
936,26, OFFENSES AGAINST PUBLIC ADMINI,215
19,1, INTOXICATED & IMPAIRED DRIVING,210
157,5, BURGLARY,210
199,6, FELONY ASSAULT,207
997,28, FELONY ASSAULT,206
816,23, FELONY ASSAULT,206
744,21, FELONY ASSAULT,206
967,27, INTOXICATED & IMPAIRED DRIVING,206
169,5, INTOXICATED & IMPAIRED DRIVING,205
13,1, FRAUDS,205
163,5, FELONY ASSAULT,205
81,3, BURGLARY,204
647,18, OFFENSES AGAINST PUBLIC ADMINI,204
671,19, FELONY ASSAULT,204
95,3, INTOXICATED & IMPAIRED DRIVING,203
607,17, INTOXICATED & IMPAIRED DRIVING,201
419,12, INTOXICATED & IMPAIRED DRIVING,201
124,4, FELONY ASSAULT,201
87,3, FELONY ASSAULT,199
778,22, FELONY ASSAULT,199
886,25, FELONY ASSAULT,198
58,2, MISCELLANEOUS PENAL LAW,197
600,17, FELONY ASSAULT,196
50,2, FELONY ASSAULT,195
961,27, FELONY ASSAULT,194
895,25, INTOXICATED & IMPAIRED DRIVING,193
413,12, FELONY ASSAULT,193
924,26, FELONY ASSAULT,192
535,15, INTOXICATED & IMPAIRED DRIVING,191
314,9, INTOXICATED & IMPAIRED DRIVING,190
565,16, FELONY ASSAULT,190
56,2, INTOXICATED & IMPAIRED DRIVING,190
236,7, FELONY ASSAULT,188
714,20, INTOXICATED & IMPAIRED DRIVING,187
677,19, INTOXICATED & IMPAIRED DRIVING,187
750,21, INTOXICATED & IMPAIRED DRIVING,186
451,13, FELONY ASSAULT,186
342,10, FELONY ASSAULT,185
350,10, INTOXICATED & IMPAIRED DRIVING,184
449,13, DANGEROUS WEAPONS,184
571,16, INTOXICATED & IMPAIRED DRIVING,184
836,23, ROBBERY,184
537,15, MISCELLANEOUS PENAL LAW,183
386,11, MISCELLANEOUS PENAL LAW,183
1034,29, FELONY ASSAULT,181
851,24, FELONY ASSAULT,181
21,1, MISCELLANEOUS PENAL LAW,181
243,7, INTOXICATED & IMPAIRED DRIVING,180
642,18, INTOXICATED & IMPAIRED DRIVING,180
234,7, DANGEROUS WEAPONS,180
823,23, INTOXICATED & IMPAIRED DRIVING,180
586,16, ROBBERY,179
707,20, FELONY ASSAULT,178
278,8, INTOXICATED & IMPAIRED DRIVING,178
1070,30, FELONY ASSAULT,177
384,11, INTOXICATED & IMPAIRED DRIVING,176
931,26, INTOXICATED & IMPAIRED DRIVING,176
340,10, DANGEROUS WEAPONS,176
1004,28, INTOXICATED & IMPAIRED DRIVING,176
620,17, ROBBERY,176
743,21, DANGEROUS WEAPONS,174
693,19, ROBBERY,174
307,9, FELONY ASSAULT,174
498,14, INTOXICATED & IMPAIRED DRIVING,173
351,10, MISCELLANEOUS PENAL LAW,173
573,16, MISCELLANEOUS PENAL LAW,172
171,5, MISCELLANEOUS PENAL LAW,172
1103,31, DANGEROUS DRUGS,172
459,13, MISCELLANEOUS PENAL LAW,172
256,7, ROBBERY,171
1042,29, MISCELLANEOUS PENAL LAW,170
316,9, MISCELLANEOUS PENAL LAW,170
362,10, ROBBERY,170
609,17, MISCELLANEOUS PENAL LAW,169
500,14, MISCELLANEOUS PENAL LAW,169
34,1, ROBBERY,169
280,8, MISCELLANEOUS PENAL LAW,168
1041,29, INTOXICATED & IMPAIRED DRIVING,168
305,9, DANGEROUS WEAPONS,167
292,8, ROBBERY,166
680,19, MISCELLANEOUS PENAL LAW,165
562,16, DANGEROUS WEAPONS,165
857,24, INTOXICATED & IMPAIRED DRIVING,165
270,8, DANGEROUS WEAPONS,164
10,1, DANGEROUS WEAPONS,163
785,22, INTOXICATED & IMPAIRED DRIVING,163
1077,30, INTOXICATED & IMPAIRED DRIVING,161
644,18, MISCELLANEOUS PENAL LAW,160
633,18, DANGEROUS WEAPONS,160
1079,30, MISCELLANEOUS PENAL LAW,160
982,27, ROBBERY,159
421,12, MISCELLANEOUS PENAL LAW,159
801,22, ROBBERY,159
490,14, FELONY ASSAULT,159
512,14, ROBBERY,159
208,6, MISCELLANEOUS PENAL LAW,158
527,15, DANGEROUS WEAPONS,158
97,3, MISCELLANEOUS PENAL LAW,158
123,4, DANGEROUS WEAPONS,157
705,20, DANGEROUS WEAPONS,156
598,17, DANGEROUS WEAPONS,156
656,18, ROBBERY,156
412,12, DANGEROUS WEAPONS,155
1018,28, ROBBERY,155
375,11, DANGEROUS WEAPONS,155
85,3, DANGEROUS WEAPONS,154
716,20, MISCELLANEOUS PENAL LAW,154
244,7, MISCELLANEOUS PENAL LAW,154
871,24, ROBBERY,153
787,22, MISCELLANEOUS PENAL LAW,153
824,23, MISCELLANEOUS PENAL LAW,153
71,2, ROBBERY,152
110,3, ROBBERY,152
1055,29, ROBBERY,152
161,5, DANGEROUS WEAPONS,152
897,25, MISCELLANEOUS PENAL LAW,151
945,26, ROBBERY,150
933,26, MISCELLANEOUS PENAL LAW,150
729,20, ROBBERY,150
777,22, DANGEROUS WEAPONS,150
909,25, ROBBERY,150
