,DAY,OFNS_DESC,COUNT
60,2, CRIMINAL MISCHIEF & RELATED OF,3029
109,3, CRIMINAL MISCHIEF & RELATED OF,3022
254,6, CRIMINAL MISCHIEF & RELATED OF,3016
505,11, DANGEROUS DRUGS,3013
1107,23, CRIMINAL MISCHIEF & RELATED OF,2988
555,12, DANGEROUS DRUGS,2979
159,4, CRIMINAL MISCHIEF & RELATED OF,2950
756,16, DANGEROUS DRUGS,2931
956,20, DANGEROUS DRUGS,2917
406,9, DANGEROUS DRUGS,2903
256,6, DANGEROUS DRUGS,2891
1454,30, CRIMINAL MISCHIEF & RELATED OF,2884
357,8, DANGEROUS DRUGS,2876
605,13, DANGEROUS DRUGS,2874
457,10, DANGEROUS DRUGS,2869
1405,29, CRIMINAL MISCHIEF & RELATED OF,2861
707,15, DANGEROUS DRUGS,2860
656,14, DANGEROUS DRUGS,2826
111,3, DANGEROUS DRUGS,2813
161,4, DANGEROUS DRUGS,2808
210,5, DANGEROUS DRUGS,2796
62,2, DANGEROUS DRUGS,2779
304,7, DANGEROUS DRUGS,2751
1109,23, DANGEROUS DRUGS,2706
808,17, DANGEROUS DRUGS,2697
1005,21, DANGEROUS DRUGS,2690
908,19, DANGEROUS DRUGS,2652
11,1, DANGEROUS DRUGS,2647
858,18, DANGEROUS DRUGS,2640
1056,22, DANGEROUS DRUGS,2628
1308,27, DANGEROUS DRUGS,2534
1355,28, DANGEROUS DRUGS,2485
1161,24, DANGEROUS DRUGS,2471
1259,26, DANGEROUS DRUGS,2457
1519,31, HARRASSMENT 2,2422
1212,25, DANGEROUS DRUGS,2402
727,15, OFF. AGNST PUB ORD SENSBLTY &,2391
1407,29, DANGEROUS DRUGS,2298
1456,30, DANGEROUS DRUGS,2216
975,20, OFF. AGNST PUB ORD SENSBLTY &,2210
476,10, OFF. AGNST PUB ORD SENSBLTY &,2153
228,5, OFF. AGNST PUB ORD SENSBLTY &,2042
1026,21, OFF. AGNST PUB ORD SENSBLTY &,2019
625,13, OFF. AGNST PUB ORD SENSBLTY &,2018
131,3, OFF. AGNST PUB ORD SENSBLTY &,2012
1501,31, ASSAULT 3 & RELATED OFFENSES,2005
427,9, OFF. AGNST PUB ORD SENSBLTY &,2004
82,2, OFF. AGNST PUB ORD SENSBLTY &,1996
377,8, OFF. AGNST PUB ORD SENSBLTY &,1991
778,16, OFF. AGNST PUB ORD SENSBLTY &,1991
1080,22, OFF. AGNST PUB ORD SENSBLTY &,1986
1182,24, OFF. AGNST PUB ORD SENSBLTY &,1978
275,6, OFF. AGNST PUB ORD SENSBLTY &,1966
576,12, OFF. AGNST PUB ORD SENSBLTY &,1957
1130,23, OFF. AGNST PUB ORD SENSBLTY &,1939
328,7, OFF. AGNST PUB ORD SENSBLTY &,1938
880,18, OFF. AGNST PUB ORD SENSBLTY &,1938
827,17, OFF. AGNST PUB ORD SENSBLTY &,1932
678,14, OFF. AGNST PUB ORD SENSBLTY &,1932
1232,25, OFF. AGNST PUB ORD SENSBLTY &,1920
182,4, OFF. AGNST PUB ORD SENSBLTY &,1914
526,11, OFF. AGNST PUB ORD SENSBLTY &,1903
1478,30, OFF. AGNST PUB ORD SENSBLTY &,1899
927,19, OFF. AGNST PUB ORD SENSBLTY &,1898
1327,27, OFF. AGNST PUB ORD SENSBLTY &,1880
1378,28, OFF. AGNST PUB ORD SENSBLTY &,1878
1505,31, CRIMINAL MISCHIEF & RELATED OF,1865
1279,26, OFF. AGNST PUB ORD SENSBLTY &,1853
1428,29, OFF. AGNST PUB ORD SENSBLTY &,1795
16,1, FELONY ASSAULT,1554
988,20, ROBBERY,1433
1507,31, DANGEROUS DRUGS,1416
1196,24, ROBBERY,1391
45,1, ROBBERY,1381
893,18, ROBBERY,1378
1292,26, ROBBERY,1376
1145,23, ROBBERY,1371
1039,21, ROBBERY,1370
1093,22, ROBBERY,1367
1340,27, ROBBERY,1362
539,11, ROBBERY,1349
489,10, ROBBERY,1347
1245,25, ROBBERY,1337
341,7, ROBBERY,1332
952,20, BURGLARY,1328
905,19, BURGLARY,1312
1001,21, BURGLARY,1310
107,3, BURGLARY,1308
638,13, ROBBERY,1303
1391,28, ROBBERY,1302
390,8, ROBBERY,1302
791,16, ROBBERY,1300
47,1, THEFT-FRAUD,1296
840,17, ROBBERY,1288
589,12, ROBBERY,1288
95,2, ROBBERY,1287
740,15, ROBBERY,1282
1105,23, BURGLARY,1279
941,19, ROBBERY,1276
1491,30, ROBBERY,1276
813,17, FELONY ASSAULT,1276
1441,29, ROBBERY,1275
453,10, BURGLARY,1270
144,3, ROBBERY,1269
288,6, ROBBERY,1263
195,4, ROBBERY,1263
440,9, ROBBERY,1261
1010,21, FELONY ASSAULT,1245
1052,22, BURGLARY,1243
1351,28, BURGLARY,1241
240,5, ROBBERY,1232
752,16, BURGLARY,1232
552,12, BURGLARY,1226
854,18, BURGLARY,1225
691,14, ROBBERY,1224
1208,25, BURGLARY,1220
652,14, BURGLARY,1219
804,17, BURGLARY,1218
1304,27, BURGLARY,1216
1158,24, BURGLARY,1215
214,5, FELONY ASSAULT,1214
703,15, BURGLARY,1214
761,16, FELONY ASSAULT,1212
559,12, FELONY ASSAULT,1208
300,7, BURGLARY,1205
58,2, BURGLARY,1202
1360,28, FELONY ASSAULT,1200
1217,25, FELONY ASSAULT,1189
206,5, BURGLARY,1188
157,4, BURGLARY,1187
501,11, BURGLARY,1185
1114,23, FELONY ASSAULT,1185
601,13, BURGLARY,1184
411,9, FELONY ASSAULT,1182
662,14, FELONY ASSAULT,1181
166,4, FELONY ASSAULT,1178
511,11, FELONY ASSAULT,1174
912,19, FELONY ASSAULT,1167
7,1, BURGLARY,1165
461,10, FELONY ASSAULT,1159
710,15, FELONY ASSAULT,1157
863,18, FELONY ASSAULT,1157
66,2, FELONY ASSAULT,1149
1255,26, BURGLARY,1148
609,13, FELONY ASSAULT,1148
1061,22, FELONY ASSAULT,1140
252,6, BURGLARY,1140
1164,24, FELONY ASSAULT,1140
1461,30, FELONY ASSAULT,1139
1313,27, FELONY ASSAULT,1138
309,7, FELONY ASSAULT,1135
1452,30, BURGLARY,1134
402,9, BURGLARY,1133
960,20, FELONY ASSAULT,1131
1263,26, FELONY ASSAULT,1124
353,8, BURGLARY,1124
363,8, FELONY ASSAULT,1123
1403,29, BURGLARY,1121
260,6, FELONY ASSAULT,1113
1411,29, FELONY ASSAULT,1110
116,3, FELONY ASSAULT,1046
1527,31, OFF. AGNST PUB ORD SENSBLTY &,1035
828,17, OFFENSES AGAINST PUBLIC ADMINI,967
33,1, OFFENSES AGAINST PUBLIC ADMINI,946
957,20, DANGEROUS WEAPONS,928
458,10, DANGEROUS WEAPONS,918
679,14, OFFENSES AGAINST PUBLIC ADMINI,911
276,6, OFFENSES AGAINST PUBLIC ADMINI,906
859,18, DANGEROUS WEAPONS,902
211,5, DANGEROUS WEAPONS,901
229,5, OFFENSES AGAINST PUBLIC ADMINI,901
556,12, DANGEROUS WEAPONS,890
626,13, OFFENSES AGAINST PUBLIC ADMINI,890
428,9, OFFENSES AGAINST PUBLIC ADMINI,889
506,11, DANGEROUS WEAPONS,889
757,16, DANGEROUS WEAPONS,885
527,11, OFFENSES AGAINST PUBLIC ADMINI,885
657,14, DANGEROUS WEAPONS,882
881,18, OFFENSES AGAINST PUBLIC ADMINI,880
378,8, OFFENSES AGAINST PUBLIC ADMINI,880
779,16, OFFENSES AGAINST PUBLIC ADMINI,878
606,13, DANGEROUS WEAPONS,877
504,11, CRIMINAL TRESPASS,870
305,7, DANGEROUS WEAPONS,869
407,9, DANGEROUS WEAPONS,867
477,10, OFFENSES AGAINST PUBLIC ADMINI,861
976,20, OFFENSES AGAINST PUBLIC ADMINI,861
183,4, OFFENSES AGAINST PUBLIC ADMINI,860
358,8, DANGEROUS WEAPONS,860
1081,22, OFFENSES AGAINST PUBLIC ADMINI,859
257,6, DANGEROUS WEAPONS,858
577,12, OFFENSES AGAINST PUBLIC ADMINI,854
1057,22, DANGEROUS WEAPONS,854
909,19, DANGEROUS WEAPONS,854
456,10, CRIMINAL TRESPASS,853
1183,24, OFFENSES AGAINST PUBLIC ADMINI,853
405,9, CRIMINAL TRESPASS,851
1027,21, OFFENSES AGAINST PUBLIC ADMINI,849
112,3, DANGEROUS WEAPONS,848
132,3, OFFENSES AGAINST PUBLIC ADMINI,847
728,15, OFFENSES AGAINST PUBLIC ADMINI,847
29,1, MISCELLANEOUS PENAL LAW,846
755,16, CRIMINAL TRESPASS,845
929,19, OFFENSES AGAINST PUBLIC ADMINI,839
329,7, OFFENSES AGAINST PUBLIC ADMINI,838
604,13, CRIMINAL TRESPASS,838
809,17, DANGEROUS WEAPONS,836
209,5, CRIMINAL TRESPASS,835
12,1, DANGEROUS WEAPONS,835
706,15, CRIMINAL TRESPASS,835
162,4, DANGEROUS WEAPONS,834
724,15, MISCELLANEOUS PENAL LAW,827
554,12, CRIMINAL TRESPASS,825
708,15, DANGEROUS WEAPONS,823
1006,21, DANGEROUS WEAPONS,823
226,5, MISCELLANEOUS PENAL LAW,819
473,10, MISCELLANEOUS PENAL LAW,819
160,4, CRIMINAL TRESPASS,818
655,14, CRIMINAL TRESPASS,814
255,6, CRIMINAL TRESPASS,811
356,8, CRIMINAL TRESPASS,808
128,3, MISCELLANEOUS PENAL LAW,808
1356,28, DANGEROUS WEAPONS,806
303,7, CRIMINAL TRESPASS,803
63,2, DANGEROUS WEAPONS,802
179,4, MISCELLANEOUS PENAL LAW,801
1328,27, OFFENSES AGAINST PUBLIC ADMINI,801
1004,21, CRIMINAL TRESPASS,800
955,20, CRIMINAL TRESPASS,800
1162,24, DANGEROUS WEAPONS,799
1132,23, OFFENSES AGAINST PUBLIC ADMINI,795
1309,27, DANGEROUS WEAPONS,792
1379,28, OFFENSES AGAINST PUBLIC ADMINI,789
1108,23, CRIMINAL TRESPASS,788
110,3, CRIMINAL TRESPASS,786
1354,28, CRIMINAL TRESPASS,784
676,14, MISCELLANEOUS PENAL LAW,782
325,7, MISCELLANEOUS PENAL LAW,782
774,16, MISCELLANEOUS PENAL LAW,781
807,17, CRIMINAL TRESPASS,780
573,12, MISCELLANEOUS PENAL LAW,780
1260,26, DANGEROUS WEAPONS,780
1055,22, CRIMINAL TRESPASS,778
1110,23, DANGEROUS WEAPONS,777
907,19, CRIMINAL TRESPASS,777
972,20, MISCELLANEOUS PENAL LAW,777
61,2, CRIMINAL TRESPASS,777
1233,25, OFFENSES AGAINST PUBLIC ADMINI,775
79,2, MISCELLANEOUS PENAL LAW,774
1539,31, ROBBERY,774
1280,26, OFFENSES AGAINST PUBLIC ADMINI,771
272,6, MISCELLANEOUS PENAL LAW,770
83,2, OFFENSES AGAINST PUBLIC ADMINI,769
425,9, MISCELLANEOUS PENAL LAW,766
1479,30, OFFENSES AGAINST PUBLIC ADMINI,764
622,13, MISCELLANEOUS PENAL LAW,763
1076,22, MISCELLANEOUS PENAL LAW,760
924,19, MISCELLANEOUS PENAL LAW,759
1023,21, MISCELLANEOUS PENAL LAW,758
1213,25, DANGEROUS WEAPONS,757
1127,23, MISCELLANEOUS PENAL LAW,752
824,17, MISCELLANEOUS PENAL LAW,752
1179,24, MISCELLANEOUS PENAL LAW,751
1429,29, OFFENSES AGAINST PUBLIC ADMINI,750
1307,27, CRIMINAL TRESPASS,748
857,18, CRIMINAL TRESPASS,745
523,11, MISCELLANEOUS PENAL LAW,744
10,1, CRIMINAL TRESPASS,738
1503,31, BURGLARY,731
1512,31, FELONY ASSAULT,726
742,15, THEFT-FRAUD,721
1258,26, CRIMINAL TRESPASS,719
1408,29, DANGEROUS WEAPONS,716
877,18, MISCELLANEOUS PENAL LAW,715
1230,25, MISCELLANEOUS PENAL LAW,712
1277,26, MISCELLANEOUS PENAL LAW,704
1457,30, DANGEROUS WEAPONS,702
1160,24, CRIMINAL TRESPASS,697
1375,28, MISCELLANEOUS PENAL LAW,692
1211,25, CRIMINAL TRESPASS,679
1406,29, CRIMINAL TRESPASS,676
375,8, MISCELLANEOUS PENAL LAW,671
1324,27, MISCELLANEOUS PENAL LAW,661
1425,29, MISCELLANEOUS PENAL LAW,657
1475,30, MISCELLANEOUS PENAL LAW,656
990,20, THEFT-FRAUD,625
67,2, FORGERY,619
1455,30, CRIMINAL TRESPASS,613
215,5, FORGERY,611
821,17, INTOXICATED & IMPAIRED DRIVING,602
873,18, INTOXICATED & IMPAIRED DRIVING,602
491,10, THEFT-FRAUD,601
610,13, FORGERY,601
1321,27, INTOXICATED & IMPAIRED DRIVING,592
364,8, FORGERY,586
222,5, INTOXICATED & IMPAIRED DRIVING,579
663,14, FORGERY,578
24,1, INTOXICATED & IMPAIRED DRIVING,576
961,20, FORGERY,575
98,2, THEFT-FRAUD,574
913,19, FORGERY,573
261,6, FORGERY,573
372,8, INTOXICATED & IMPAIRED DRIVING,572
310,7, FORGERY,571
412,9, FORGERY,570
864,18, FORGERY,570
617,13, INTOXICATED & IMPAIRED DRIVING,568
560,12, FORGERY,567
117,3, FORGERY,567
462,10, FORGERY,566
671,14, INTOXICATED & IMPAIRED DRIVING,559
719,15, INTOXICATED & IMPAIRED DRIVING,558
1071,22, INTOXICATED & IMPAIRED DRIVING,557
1011,21, FORGERY,556
1361,28, FORGERY,553
568,12, INTOXICATED & IMPAIRED DRIVING,552
18,1, FRAUDS,552
319,7, INTOXICATED & IMPAIRED DRIVING,551
146,3, THEFT-FRAUD,550
693,14, THEFT-FRAUD,549
242,5, THEFT-FRAUD,547
1062,22, FORGERY,547
268,6, INTOXICATED & IMPAIRED DRIVING,546
895,18, THEFT-FRAUD,546
591,12, THEFT-FRAUD,543
1115,23, FORGERY,543
770,16, INTOXICATED & IMPAIRED DRIVING,541
711,15, FORGERY,538
843,17, THEFT-FRAUD,538
198,4, THEFT-FRAUD,537
542,11, THEFT-FRAUD,535
167,4, FORGERY,535
1041,21, THEFT-FRAUD,533
1342,27, THEFT-FRAUD,532
814,17, FORGERY,532
1123,23, INTOXICATED & IMPAIRED DRIVING,531
75,2, INTOXICATED & IMPAIRED DRIVING,526
1019,21, INTOXICATED & IMPAIRED DRIVING,525
1173,24, INTOXICATED & IMPAIRED DRIVING,525
762,16, FORGERY,524
512,11, FORGERY,524
420,9, INTOXICATED & IMPAIRED DRIVING,524
519,11, INTOXICATED & IMPAIRED DRIVING,524
968,20, INTOXICATED & IMPAIRED DRIVING,520
392,8, THEFT-FRAUD,516
1095,22, THEFT-FRAUD,511
290,6, THEFT-FRAUD,510
1273,26, INTOXICATED & IMPAIRED DRIVING,509
1393,28, THEFT-FRAUD,509
641,13, THEFT-FRAUD,508
793,16, THEFT-FRAUD,507
17,1, FORGERY,506
343,7, THEFT-FRAUD,504
1264,26, FORGERY,502
1147,23, THEFT-FRAUD,500
1369,28, INTOXICATED & IMPAIRED DRIVING,499
469,10, INTOXICATED & IMPAIRED DRIVING,498
1198,24, THEFT-FRAUD,498
920,19, INTOXICATED & IMPAIRED DRIVING,496
175,4, INTOXICATED & IMPAIRED DRIVING,496
1493,30, THEFT-FRAUD,492
943,19, THEFT-FRAUD,492
1218,25, FORGERY,489
1165,24, FORGERY,486
1528,31, OFFENSES AGAINST PUBLIC ADMINI,486
1420,29, INTOXICATED & IMPAIRED DRIVING,485
124,3, INTOXICATED & IMPAIRED DRIVING,481
845,17, VEHICLE AND TRAFFIC LAWS,481
1226,25, INTOXICATED & IMPAIRED DRIVING,477
442,9, THEFT-FRAUD,476
1294,26, THEFT-FRAUD,475
1443,29, THEFT-FRAUD,471
1314,27, FORGERY,471
1396,28, VEHICLE AND TRAFFIC LAWS,467
1412,29, FORGERY,465
945,19, VEHICLE AND TRAFFIC LAWS,462
1247,25, THEFT-FRAUD,456
1462,30, FORGERY,453
1470,30, INTOXICATED & IMPAIRED DRIVING,453
643,13, VEHICLE AND TRAFFIC LAWS,451
1508,31, DANGEROUS WEAPONS,449
593,12, VEHICLE AND TRAFFIC LAWS,449
493,10, VEHICLE AND TRAFFIC LAWS,448
346,7, VEHICLE AND TRAFFIC LAWS,448
50,1, VEHICLE AND TRAFFIC LAWS,446
993,20, VEHICLE AND TRAFFIC LAWS,445
332,7, OFFENSES INVOLVING FRAUD,438
1445,29, VEHICLE AND TRAFFIC LAWS,437
1201,24, VEHICLE AND TRAFFIC LAWS,433
796,16, VEHICLE AND TRAFFIC LAWS,433
544,11, VEHICLE AND TRAFFIC LAWS,432
480,10, OFFENSES INVOLVING FRAUD,429
86,2, OFFENSES INVOLVING FRAUD,429
1098,22, VEHICLE AND TRAFFIC LAWS,429
744,15, VEHICLE AND TRAFFIC LAWS,428
897,18, VEHICLE AND TRAFFIC LAWS,428
1249,25, VEHICLE AND TRAFFIC LAWS,422
381,8, OFFENSES INVOLVING FRAUD,421
1496,30, VEHICLE AND TRAFFIC LAWS,420
1344,27, VEHICLE AND TRAFFIC LAWS,420
149,3, VEHICLE AND TRAFFIC LAWS,419
395,8, VEHICLE AND TRAFFIC LAWS,418
1044,21, VEHICLE AND TRAFFIC LAWS,418
1150,23, VEHICLE AND TRAFFIC LAWS,416
695,14, VEHICLE AND TRAFFIC LAWS,415
1524,31, MISCELLANEOUS PENAL LAW,412
1297,26, VEHICLE AND TRAFFIC LAWS,408
712,15, FRAUDS,407
444,9, VEHICLE AND TRAFFIC LAWS,405
1506,31, CRIMINAL TRESPASS,404
1366,28, GRAND LARCENY OF MOTOR VEHICLE,404
831,17, OFFENSES INVOLVING FRAUD,402
682,14, OFFENSES INVOLVING FRAUD,401
530,11, OFFENSES INVOLVING FRAUD,399
245,5, VEHICLE AND TRAFFIC LAWS,399
292,6, VEHICLE AND TRAFFIC LAWS,397
279,6, OFFENSES INVOLVING FRAUD,395
431,9, OFFENSES INVOLVING FRAUD,394
316,7, GRAND LARCENY OF MOTOR VEHICLE,387
668,14, GRAND LARCENY OF MOTOR VEHICLE,386
200,4, VEHICLE AND TRAFFIC LAWS,386
186,4, OFFENSES INVOLVING FRAUD,384
819,17, GRAND LARCENY OF MOTOR VEHICLE,383
1224,25, GRAND LARCENY OF MOTOR VEHICLE,382
731,15, OFFENSES INVOLVING FRAUD,380
135,3, OFFENSES INVOLVING FRAUD,380
1016,21, GRAND LARCENY OF MOTOR VEHICLE,377
370,8, GRAND LARCENY OF MOTOR VEHICLE,377
629,13, OFFENSES INVOLVING FRAUD,377
979,20, OFFENSES INVOLVING FRAUD,376
100,2, VEHICLE AND TRAFFIC LAWS,371
1331,27, OFFENSES INVOLVING FRAUD,370
716,15, GRAND LARCENY OF MOTOR VEHICLE,370
266,6, GRAND LARCENY OF MOTOR VEHICLE,370
220,5, GRAND LARCENY OF MOTOR VEHICLE,367
884,18, OFFENSES INVOLVING FRAUD,365
467,10, GRAND LARCENY OF MOTOR VEHICLE,365
36,1, OFFENSES INVOLVING FRAUD,364
1236,25, OFFENSES INVOLVING FRAUD,362
118,3, FRAUDS,361
417,9, GRAND LARCENY OF MOTOR VEHICLE,360
517,11, GRAND LARCENY OF MOTOR VEHICLE,359
22,1, GRAND LARCENY OF MOTOR VEHICLE,358
1030,21, OFFENSES INVOLVING FRAUD,358
232,5, OFFENSES INVOLVING FRAUD,357
580,12, OFFENSES INVOLVING FRAUD,356
1067,22, GRAND LARCENY OF MOTOR VEHICLE,356
782,16, OFFENSES INVOLVING FRAUD,355
1135,23, OFFENSES INVOLVING FRAUD,353
1121,23, GRAND LARCENY OF MOTOR VEHICLE,353
767,16, GRAND LARCENY OF MOTOR VEHICLE,352
918,19, GRAND LARCENY OF MOTOR VEHICLE,351
1186,24, OFFENSES INVOLVING FRAUD,351
1417,29, GRAND LARCENY OF MOTOR VEHICLE,351
561,12, FRAUDS,351
1467,30, GRAND LARCENY OF MOTOR VEHICLE,351
932,19, OFFENSES INVOLVING FRAUD,350
1283,26, OFFENSES INVOLVING FRAUD,350
870,18, GRAND LARCENY OF MOTOR VEHICLE,349
1270,26, GRAND LARCENY OF MOTOR VEHICLE,349
962,20, FRAUDS,346
463,10, FRAUDS,343
1319,27, GRAND LARCENY OF MOTOR VEHICLE,343
122,3, GRAND LARCENY OF MOTOR VEHICLE,342
1170,24, GRAND LARCENY OF MOTOR VEHICLE,341
966,20, GRAND LARCENY OF MOTOR VEHICLE,334
312,7, FRAUDS,332
615,13, GRAND LARCENY OF MOTOR VEHICLE,331
815,17, FRAUDS,331
366,8, FRAUDS,330
565,12, GRAND LARCENY OF MOTOR VEHICLE,329
789,16, POSSESSION OF STOLEN PROPERTY,329
689,14, POSSESSION OF STOLEN PROPERTY,329
1084,22, OFFENSES INVOLVING FRAUD,328
914,19, FRAUDS,327
513,11, FRAUDS,325
487,10, POSSESSION OF STOLEN PROPERTY,325
1382,28, OFFENSES INVOLVING FRAUD,325
738,15, POSSESSION OF STOLEN PROPERTY,324
388,8, POSSESSION OF STOLEN PROPERTY,324
216,5, FRAUDS,321
587,12, POSSESSION OF STOLEN PROPERTY,321
286,6, POSSESSION OF STOLEN PROPERTY,321
636,13, POSSESSION OF STOLEN PROPERTY,318
173,4, GRAND LARCENY OF MOTOR VEHICLE,315
72,2, GRAND LARCENY OF MOTOR VEHICLE,315
339,7, POSSESSION OF STOLEN PROPERTY,313
262,6, FRAUDS,310
413,9, FRAUDS,310
1266,26, FRAUDS,308
68,2, FRAUDS,307
1315,27, FRAUDS,306
891,18, POSSESSION OF STOLEN PROPERTY,304
537,11, POSSESSION OF STOLEN PROPERTY,302
