,DAY,OFNS_DESC,COUNT
63,2, DANGEROUS DRUGS,3905
780,16, GRAND LARCENY,3903
1078,22, GRAND LARCENY,3902
929,19, GRAND LARCENY,3899
1029,21, GRAND LARCENY,3897
1230,25, GRAND LARCENY,3890
1180,24, GRAND LARCENY,3878
427,9, GRAND LARCENY,3869
175,4, GRAND LARCENY,3852
518,11, DANGEROUS DRUGS,3843
376,8, GRAND LARCENY,3843
879,18, GRAND LARCENY,3836
568,12, DANGEROUS DRUGS,3833
366,8, DANGEROUS DRUGS,3823
275,6, GRAND LARCENY,3819
968,20, DANGEROUS DRUGS,3793
1279,26, GRAND LARCENY,3781
1477,30, GRAND LARCENY,3764
417,9, DANGEROUS DRUGS,3755
214,5, DANGEROUS DRUGS,3746
1526,31, HARRASSMENT 2,3729
1018,21, DANGEROUS DRUGS,3727
11,1, DANGEROUS DRUGS,3714
265,6, DANGEROUS DRUGS,3704
316,7, DANGEROUS DRUGS,3703
621,13, DANGEROUS DRUGS,3702
164,4, DANGEROUS DRUGS,3681
1428,29, GRAND LARCENY,3670
719,15, DANGEROUS DRUGS,3662
769,16, DANGEROUS DRUGS,3645
868,18, DANGEROUS DRUGS,3616
919,19, DANGEROUS DRUGS,3594
820,17, DANGEROUS DRUGS,3587
669,14, DANGEROUS DRUGS,3583
1508,31, ASSAULT 3 & RELATED OFFENSES,3454
1317,27, DANGEROUS DRUGS,3440
1119,23, DANGEROUS DRUGS,3432
1068,22, DANGEROUS DRUGS,3404
1512,31, CRIMINAL MISCHIEF & RELATED OF,3373
741,15, OFF. AGNST PUB ORD SENSBLTY &,3343
1222,25, DANGEROUS DRUGS,3305
1270,26, DANGEROUS DRUGS,3305
1369,28, DANGEROUS DRUGS,3274
990,20, OFF. AGNST PUB ORD SENSBLTY &,3237
1171,24, DANGEROUS DRUGS,3231
489,10, OFF. AGNST PUB ORD SENSBLTY &,3111
236,5, OFF. AGNST PUB ORD SENSBLTY &,3041
84,2, OFF. AGNST PUB ORD SENSBLTY &,3030
1419,29, DANGEROUS DRUGS,3004
591,12, OFF. AGNST PUB ORD SENSBLTY &,2977
1390,28, OFF. AGNST PUB ORD SENSBLTY &,2962
287,6, OFF. AGNST PUB ORD SENSBLTY &,2950
338,7, OFF. AGNST PUB ORD SENSBLTY &,2934
185,4, OFF. AGNST PUB ORD SENSBLTY &,2902
690,14, OFF. AGNST PUB ORD SENSBLTY &,2892
1339,27, OFF. AGNST PUB ORD SENSBLTY &,2889
1241,25, OFF. AGNST PUB ORD SENSBLTY &,2887
135,3, OFF. AGNST PUB ORD SENSBLTY &,2882
890,18, OFF. AGNST PUB ORD SENSBLTY &,2881
1467,30, DANGEROUS DRUGS,2874
438,9, OFF. AGNST PUB ORD SENSBLTY &,2871
1040,21, OFF. AGNST PUB ORD SENSBLTY &,2865
538,11, OFF. AGNST PUB ORD SENSBLTY &,2862
1290,26, OFF. AGNST PUB ORD SENSBLTY &,2853
1192,24, OFF. AGNST PUB ORD SENSBLTY &,2850
387,8, OFF. AGNST PUB ORD SENSBLTY &,2844
840,17, OFF. AGNST PUB ORD SENSBLTY &,2843
640,13, OFF. AGNST PUB ORD SENSBLTY &,2830
940,19, OFF. AGNST PUB ORD SENSBLTY &,2824
790,16, OFF. AGNST PUB ORD SENSBLTY &,2805
1141,23, OFF. AGNST PUB ORD SENSBLTY &,2768
1089,22, OFF. AGNST PUB ORD SENSBLTY &,2746
1486,30, OFF. AGNST PUB ORD SENSBLTY &,2648
1438,29, OFF. AGNST PUB ORD SENSBLTY &,2614
46,1, ROBBERY,2564
1404,28, ROBBERY,2533
16,1, FELONY ASSAULT,2480
902,18, ROBBERY,2454
803,16, ROBBERY,2447
754,15, ROBBERY,2434
1353,27, ROBBERY,2429
148,3, ROBBERY,2427
1064,22, BURGLARY,2425
1003,20, ROBBERY,2419
1115,23, BURGLARY,2418
1102,22, ROBBERY,2410
250,5, ROBBERY,2402
1154,23, ROBBERY,2399
1052,21, ROBBERY,2399
816,17, BURGLARY,2399
703,14, ROBBERY,2398
1303,26, ROBBERY,2397
604,12, ROBBERY,2397
198,4, ROBBERY,2385
1014,21, BURGLARY,2381
1451,29, ROBBERY,2378
552,11, ROBBERY,2377
1365,28, BURGLARY,2376
964,20, BURGLARY,2358
1205,24, ROBBERY,2351
653,13, ROBBERY,2349
502,10, ROBBERY,2347
1524,31, GRAND LARCENY,2347
1167,24, BURGLARY,2346
218,5, FELONY ASSAULT,2339
1254,25, ROBBERY,2337
952,19, ROBBERY,2334
715,15, BURGLARY,2334
451,9, ROBBERY,2329
665,14, BURGLARY,2327
400,8, ROBBERY,2325
413,9, BURGLARY,2316
1225,25, FELONY ASSAULT,2310
1175,24, FELONY ASSAULT,2310
1499,30, ROBBERY,2306
170,4, FELONY ASSAULT,2303
261,6, BURGLARY,2302
765,16, BURGLARY,2301
853,17, ROBBERY,2290
564,12, BURGLARY,2289
300,6, ROBBERY,2287
351,7, ROBBERY,2287
97,2, ROBBERY,2285
110,3, BURGLARY,2283
864,18, BURGLARY,2274
574,12, FELONY ASSAULT,2273
1374,28, FELONY ASSAULT,2268
7,1, BURGLARY,2266
874,18, FELONY ASSAULT,2265
463,10, BURGLARY,2250
322,7, FELONY ASSAULT,2247
524,11, FELONY ASSAULT,2246
514,11, BURGLARY,2245
1266,26, BURGLARY,2244
120,3, FELONY ASSAULT,2240
915,19, BURGLARY,2233
617,13, BURGLARY,2222
973,20, FELONY ASSAULT,2220
724,15, FELONY ASSAULT,2219
363,8, BURGLARY,2216
1125,23, FELONY ASSAULT,2212
270,6, FELONY ASSAULT,2210
1313,27, BURGLARY,2210
471,10, FELONY ASSAULT,2206
1274,26, FELONY ASSAULT,2201
1322,27, FELONY ASSAULT,2200
1218,25, BURGLARY,2198
210,5, BURGLARY,2193
59,2, BURGLARY,2190
312,7, BURGLARY,2188
824,17, FELONY ASSAULT,2186
69,2, FELONY ASSAULT,2186
1073,22, FELONY ASSAULT,2185
924,19, FELONY ASSAULT,2185
674,14, FELONY ASSAULT,2184
626,13, FELONY ASSAULT,2178
160,4, BURGLARY,2176
1472,30, FELONY ASSAULT,2172
1024,21, FELONY ASSAULT,2167
775,16, FELONY ASSAULT,2164
1415,29, BURGLARY,2157
371,8, FELONY ASSAULT,2155
422,9, FELONY ASSAULT,2128
1463,30, BURGLARY,2099
1423,29, FELONY ASSAULT,2000
31,1, MISCELLANEOUS PENAL LAW,1841
182,4, MISCELLANEOUS PENAL LAW,1831
687,14, MISCELLANEOUS PENAL LAW,1766
133,3, MISCELLANEOUS PENAL LAW,1747
284,6, MISCELLANEOUS PENAL LAW,1741
738,15, MISCELLANEOUS PENAL LAW,1723
48,1, THEFT-FRAUD,1722
937,19, MISCELLANEOUS PENAL LAW,1722
887,18, MISCELLANEOUS PENAL LAW,1720
788,16, MISCELLANEOUS PENAL LAW,1714
233,5, MISCELLANEOUS PENAL LAW,1714
435,9, MISCELLANEOUS PENAL LAW,1711
1037,21, MISCELLANEOUS PENAL LAW,1705
536,11, MISCELLANEOUS PENAL LAW,1702
1388,28, MISCELLANEOUS PENAL LAW,1695
837,17, MISCELLANEOUS PENAL LAW,1694
1138,23, MISCELLANEOUS PENAL LAW,1692
987,20, MISCELLANEOUS PENAL LAW,1692
638,13, MISCELLANEOUS PENAL LAW,1691
486,10, MISCELLANEOUS PENAL LAW,1680
385,8, MISCELLANEOUS PENAL LAW,1680
1514,31, DANGEROUS DRUGS,1659
588,12, MISCELLANEOUS PENAL LAW,1656
82,2, MISCELLANEOUS PENAL LAW,1643
336,7, MISCELLANEOUS PENAL LAW,1638
1337,27, MISCELLANEOUS PENAL LAW,1634
1087,22, MISCELLANEOUS PENAL LAW,1625
1188,24, MISCELLANEOUS PENAL LAW,1609
1534,31, OFF. AGNST PUB ORD SENSBLTY &,1584
1239,25, MISCELLANEOUS PENAL LAW,1579
1546,31, ROBBERY,1557
1288,26, MISCELLANEOUS PENAL LAW,1542
1484,30, MISCELLANEOUS PENAL LAW,1536
1436,29, MISCELLANEOUS PENAL LAW,1497
1519,31, FELONY ASSAULT,1423
519,11, DANGEROUS WEAPONS,1304
1019,21, DANGEROUS WEAPONS,1298
1510,31, BURGLARY,1295
569,12, DANGEROUS WEAPONS,1293
317,7, DANGEROUS WEAPONS,1293
215,5, DANGEROUS WEAPONS,1286
821,17, DANGEROUS WEAPONS,1284
622,13, DANGEROUS WEAPONS,1282
468,10, DANGEROUS WEAPONS,1280
1069,22, DANGEROUS WEAPONS,1273
869,18, DANGEROUS WEAPONS,1267
770,16, DANGEROUS WEAPONS,1253
266,6, DANGEROUS WEAPONS,1252
12,1, DANGEROUS WEAPONS,1251
418,9, DANGEROUS WEAPONS,1251
115,3, DANGEROUS WEAPONS,1241
720,15, DANGEROUS WEAPONS,1232
64,2, DANGEROUS WEAPONS,1230
165,4, DANGEROUS WEAPONS,1219
969,20, DANGEROUS WEAPONS,1215
1271,26, DANGEROUS WEAPONS,1193
670,14, DANGEROUS WEAPONS,1192
880,18, GRAND LARCENY OF MOTOR VEHICLE,1191
830,17, GRAND LARCENY OF MOTOR VEHICLE,1187
979,20, GRAND LARCENY OF MOTOR VEHICLE,1186
920,19, DANGEROUS WEAPONS,1185
1120,23, DANGEROUS WEAPONS,1183
1318,27, DANGEROUS WEAPONS,1175
580,12, GRAND LARCENY OF MOTOR VEHICLE,1174
1079,22, GRAND LARCENY OF MOTOR VEHICLE,1172
377,8, GRAND LARCENY OF MOTOR VEHICLE,1169
22,1, GRAND LARCENY OF MOTOR VEHICLE,1164
367,8, DANGEROUS WEAPONS,1164
730,15, GRAND LARCENY OF MOTOR VEHICLE,1164
477,10, GRAND LARCENY OF MOTOR VEHICLE,1163
1231,25, GRAND LARCENY OF MOTOR VEHICLE,1162
530,11, GRAND LARCENY OF MOTOR VEHICLE,1159
1370,28, DANGEROUS WEAPONS,1145
781,16, GRAND LARCENY OF MOTOR VEHICLE,1143
680,14, GRAND LARCENY OF MOTOR VEHICLE,1140
930,19, GRAND LARCENY OF MOTOR VEHICLE,1133
1131,23, GRAND LARCENY OF MOTOR VEHICLE,1131
1280,26, GRAND LARCENY OF MOTOR VEHICLE,1131
428,9, GRAND LARCENY OF MOTOR VEHICLE,1127
632,13, GRAND LARCENY OF MOTOR VEHICLE,1126
1223,25, DANGEROUS WEAPONS,1125
1181,24, GRAND LARCENY OF MOTOR VEHICLE,1124
224,5, GRAND LARCENY OF MOTOR VEHICLE,1122
176,4, GRAND LARCENY OF MOTOR VEHICLE,1118
1380,28, GRAND LARCENY OF MOTOR VEHICLE,1110
1030,21, GRAND LARCENY OF MOTOR VEHICLE,1107
1172,24, DANGEROUS WEAPONS,1103
1420,29, DANGEROUS WEAPONS,1091
1429,29, GRAND LARCENY OF MOTOR VEHICLE,1091
1328,27, GRAND LARCENY OF MOTOR VEHICLE,1087
276,6, GRAND LARCENY OF MOTOR VEHICLE,1074
126,3, GRAND LARCENY OF MOTOR VEHICLE,1068
