,DAY,OFNS_DESC,COUNT
1321,28, GRAND LARCENY,2692
1272,27, GRAND LARCENY,2677
216,5, GRAND LARCENY,2676
266,6, GRAND LARCENY,2675
361,8, GRAND LARCENY,2670
1224,26, GRAND LARCENY,2654
985,21, GRAND LARCENY,2654
1126,24, GRAND LARCENY,2620
1463,31, HARRASSMENT 2,2584
1417,30, GRAND LARCENY,2572
1174,25, GRAND LARCENY,2570
1367,29, GRAND LARCENY,2502
1450,31, CRIMINAL MISCHIEF & RELATED OF,2470
711,15, OFF. AGNST PUB ORD SENSBLTY &,2362
466,10, OFF. AGNST PUB ORD SENSBLTY &,2255
1447,31, ASSAULT 3 & RELATED OFFENSES,2207
948,20, OFF. AGNST PUB ORD SENSBLTY &,2159
226,5, OFF. AGNST PUB ORD SENSBLTY &,2129
661,14, OFF. AGNST PUB ORD SENSBLTY &,2025
79,2, OFF. AGNST PUB ORD SENSBLTY &,2025
1185,25, OFF. AGNST PUB ORD SENSBLTY &,2009
1286,27, OFF. AGNST PUB ORD SENSBLTY &,1983
565,12, OFF. AGNST PUB ORD SENSBLTY &,1978
851,18, OFF. AGNST PUB ORD SENSBLTY &,1971
323,7, OFF. AGNST PUB ORD SENSBLTY &,1971
1331,28, OFF. AGNST PUB ORD SENSBLTY &,1965
805,17, OFF. AGNST PUB ORD SENSBLTY &,1957
1043,22, OFF. AGNST PUB ORD SENSBLTY &,1956
761,16, OFF. AGNST PUB ORD SENSBLTY &,1955
1088,23, OFF. AGNST PUB ORD SENSBLTY &,1954
371,8, OFF. AGNST PUB ORD SENSBLTY &,1948
175,4, OFF. AGNST PUB ORD SENSBLTY &,1948
416,9, OFF. AGNST PUB ORD SENSBLTY &,1936
611,13, OFF. AGNST PUB ORD SENSBLTY &,1925
515,11, OFF. AGNST PUB ORD SENSBLTY &,1923
902,19, OFF. AGNST PUB ORD SENSBLTY &,1901
274,6, OFF. AGNST PUB ORD SENSBLTY &,1899
995,21, OFF. AGNST PUB ORD SENSBLTY &,1890
127,3, OFF. AGNST PUB ORD SENSBLTY &,1887
1136,24, OFF. AGNST PUB ORD SENSBLTY &,1884
1232,26, OFF. AGNST PUB ORD SENSBLTY &,1872
588,13, BURGLARY,1799
1067,23, BURGLARY,1786
7,1, BURGLARY,1773
1379,29, OFF. AGNST PUB ORD SENSBLTY &,1768
540,12, BURGLARY,1761
1113,24, BURGLARY,1755
202,5, BURGLARY,1751
1427,30, OFF. AGNST PUB ORD SENSBLTY &,1749
395,9, BURGLARY,1742
924,20, BURGLARY,1741
1258,27, BURGLARY,1736
783,17, BURGLARY,1732
442,10, BURGLARY,1720
688,15, BURGLARY,1718
153,4, BURGLARY,1712
1019,22, BURGLARY,1711
830,18, BURGLARY,1701
104,3, BURGLARY,1692
636,14, BURGLARY,1687
253,6, BURGLARY,1685
1309,28, BURGLARY,1679
736,16, BURGLARY,1672
348,8, BURGLARY,1668
299,7, BURGLARY,1660
972,21, BURGLARY,1658
1210,26, BURGLARY,1658
875,19, BURGLARY,1657
1161,25, BURGLARY,1636
58,2, BURGLARY,1632
1355,29, BURGLARY,1630
490,11, BURGLARY,1625
1404,30, BURGLARY,1617
1461,31, GRAND LARCENY,1527
336,7, ROBBERY,1495
623,13, ROBBERY,1471
724,15, ROBBERY,1452
577,12, ROBBERY,1451
961,20, ROBBERY,1448
1100,23, ROBBERY,1440
1149,24, ROBBERY,1432
17,1, FELONY ASSAULT,1413
913,19, ROBBERY,1412
1056,22, ROBBERY,1411
1008,21, ROBBERY,1408
1344,28, ROBBERY,1405
431,9, ROBBERY,1401
674,14, ROBBERY,1394
479,10, ROBBERY,1385
140,3, ROBBERY,1385
239,5, ROBBERY,1377
286,6, ROBBERY,1375
528,11, ROBBERY,1367
91,2, ROBBERY,1367
774,16, ROBBERY,1359
1298,27, ROBBERY,1359
864,18, ROBBERY,1358
46,1, ROBBERY,1352
1198,25, ROBBERY,1348
818,17, ROBBERY,1331
189,4, ROBBERY,1324
1439,30, ROBBERY,1323
384,8, ROBBERY,1317
1169,25, FELONY ASSAULT,1312
1246,26, ROBBERY,1294
210,5, FELONY ASSAULT,1294
933,20, FELONY ASSAULT,1293
451,10, FELONY ASSAULT,1289
404,9, FELONY ASSAULT,1283
307,7, FELONY ASSAULT,1276
1075,23, FELONY ASSAULT,1275
1267,27, FELONY ASSAULT,1272
696,15, FELONY ASSAULT,1270
1392,29, ROBBERY,1263
1219,26, FELONY ASSAULT,1258
66,2, FELONY ASSAULT,1256
980,21, FELONY ASSAULT,1250
261,6, FELONY ASSAULT,1244
792,17, FELONY ASSAULT,1242
1316,28, FELONY ASSAULT,1240
596,13, FELONY ASSAULT,1237
162,4, FELONY ASSAULT,1229
1026,22, FELONY ASSAULT,1228
883,19, FELONY ASSAULT,1223
646,14, FELONY ASSAULT,1223
745,16, FELONY ASSAULT,1223
549,12, FELONY ASSAULT,1217
112,3, FELONY ASSAULT,1198
498,11, FELONY ASSAULT,1195
838,18, FELONY ASSAULT,1193
1412,30, FELONY ASSAULT,1189
1121,24, FELONY ASSAULT,1187
457,10, GRAND LARCENY OF MOTOR VEHICLE,1158
357,8, FELONY ASSAULT,1158
1127,24, GRAND LARCENY OF MOTOR VEHICLE,1151
22,1, GRAND LARCENY OF MOTOR VEHICLE,1151
1081,23, GRAND LARCENY OF MOTOR VEHICLE,1144
1362,29, FELONY ASSAULT,1143
1469,31, OFF. AGNST PUB ORD SENSBLTY &,1141
986,21, GRAND LARCENY OF MOTOR VEHICLE,1137
889,19, GRAND LARCENY OF MOTOR VEHICLE,1132
939,20, GRAND LARCENY OF MOTOR VEHICLE,1130
410,9, GRAND LARCENY OF MOTOR VEHICLE,1125
168,4, GRAND LARCENY OF MOTOR VEHICLE,1121
1032,22, GRAND LARCENY OF MOTOR VEHICLE,1120
798,17, GRAND LARCENY OF MOTOR VEHICLE,1116
652,14, GRAND LARCENY OF MOTOR VEHICLE,1101
1225,26, GRAND LARCENY OF MOTOR VEHICLE,1098
1175,25, GRAND LARCENY OF MOTOR VEHICLE,1098
702,15, GRAND LARCENY OF MOTOR VEHICLE,1095
843,18, GRAND LARCENY OF MOTOR VEHICLE,1088
1322,28, GRAND LARCENY OF MOTOR VEHICLE,1081
118,3, GRAND LARCENY OF MOTOR VEHICLE,1064
504,11, GRAND LARCENY OF MOTOR VEHICLE,1057
223,5, MISCELLANEOUS PENAL LAW,1056
31,1, MISCELLANEOUS PENAL LAW,1051
267,6, GRAND LARCENY OF MOTOR VEHICLE,1048
1273,27, GRAND LARCENY OF MOTOR VEHICLE,1046
313,7, GRAND LARCENY OF MOTOR VEHICLE,1044
555,12, GRAND LARCENY OF MOTOR VEHICLE,1043
751,16, GRAND LARCENY OF MOTOR VEHICLE,1043
217,5, GRAND LARCENY OF MOTOR VEHICLE,1042
72,2, GRAND LARCENY OF MOTOR VEHICLE,1037
602,13, GRAND LARCENY OF MOTOR VEHICLE,1035
1449,31, BURGLARY,1030
1418,30, GRAND LARCENY OF MOTOR VEHICLE,1023
708,15, MISCELLANEOUS PENAL LAW,1016
173,4, MISCELLANEOUS PENAL LAW,1013
414,9, MISCELLANEOUS PENAL LAW,1009
362,8, GRAND LARCENY OF MOTOR VEHICLE,1006
48,1, THEFT-FRAUD,999
1368,29, GRAND LARCENY OF MOTOR VEHICLE,997
77,2, MISCELLANEOUS PENAL LAW,994
464,10, MISCELLANEOUS PENAL LAW,993
1230,26, MISCELLANEOUS PENAL LAW,986
513,11, MISCELLANEOUS PENAL LAW,978
369,8, MISCELLANEOUS PENAL LAW,975
272,6, MISCELLANEOUS PENAL LAW,972
992,21, MISCELLANEOUS PENAL LAW,969
849,18, MISCELLANEOUS PENAL LAW,968
1182,25, MISCELLANEOUS PENAL LAW,967
758,16, MISCELLANEOUS PENAL LAW,965
562,12, MISCELLANEOUS PENAL LAW,953
946,20, MISCELLANEOUS PENAL LAW,951
803,17, MISCELLANEOUS PENAL LAW,947
608,13, MISCELLANEOUS PENAL LAW,945
898,19, MISCELLANEOUS PENAL LAW,939
1086,23, MISCELLANEOUS PENAL LAW,936
