,PD_CD,PD_DESC,COUNT
366,975, ENVIRONMENTAL CONTROL BOARD,1
256,669, PRIVACY OFFENSES AGAINST UNCLA,1
153,427, LARCENY GRAND FROM PARKING MET,1
234,614, LOITERING SCHOOL,1
307,783, FIREWORKS PREV CONV 5 YEARS,1
309,786, WEAPONS PROHIBITED USE,1
310,787, WEAPONS PROHIBITED USE IMITATI,1
218,561, PROSTITUTION  PATRONIZING 2  1,1
326,820, EDUCATION LAW  TRUANCY,1
332,836, NAVIGATION LAW,1
