,PD_CD,PD_DESC,COUNT
64,283, SOLICITATION 4  CRIMINAL,1
231,604, LOITERING 1ST DEGREE FOR DRUG,1
248,648, PLACE FALSE BOMB,1
253,662, MATERIAL              OFFENSIV,1
259,685, CHILD LICENSED PREMISES,1
218,561, PROSTITUTION  PATRONIZING 2  1,1
281,731, SALE OF UNAUTHORIZED RECORDING,1
209,530, DRUG  INJECTION OF,1
291,756, ABSCONDING FROM WORK RELEASE 2,1
235,622, UNDER THE INFLUENCE OF DRUGS,1
