,PD_CD,PD_DESC,COUNT
364,969, TRAFFIC UNCLASSIFIED INFRACTIO,1
264,689, MARRIAGE OFFENSES AGAINST UNCL,1
25,186, LURING A CHILD,1
265,691, BIGAMY,1
286,737, USURY CRIMINAL,1
20,177, SEXUAL ABUSE,1
311,786, WEAPONS PROHIBITED USE,1
316,796, WEAPONS PROHIBITED USE,1
16,164, SODOMY 3,1
317,797, WOUNDS REPORTING OF,1
