,PD_CD,PD_DESC,COUNT
394,975, ENVIRONMENTAL CONTROL BOARD,1
21,170, SEXUAL MISCONDUCT INTERCOURSE,1
24,177, SEXUAL ABUSE,1
217,522, USE CHILD TO COMMIT CONT SUB OFF,1
380,885, SMOKING TRANSPORTATION FACILIT,1
272,667, HIND PROSEC. TERR 2,1
18,146, ABORTION 2  1  SELF,1
276,678, ANARCHY CRIMINAL,1
19,164, SODOMY 3,1
355,836, NAVIGATION LAW,1
