,PD_CD,PD_DESC,COUNT
0,101, ASSAULT 3,95110
240,638, HARASSMENT SUBD 3 4 5,88534
241,639, AGGRAVATED HARASSMENT 2,61404
239,637, HARASSMENT SUBD 1 CIVILIAN,48659
48,254, MISCHIEF  CRIMINAL 4  OF MOTOR,46485
75,321, LARCENY PETIT FROM AUTO,41815
80,333, LARCENY PETIT FROM STORE-SHOPL,40222
82,338, LARCENY PETIT FROM BUILDING UN,34794
5,109, ASSAULT 2 1 UNCLASSIFIED,31701
51,259, CRIMINAL MISCHIEF UNCLASSIFIED 4,30366
164,441, LARCENY GRAND OF AUTO,30280
