,PD_CD,PD_DESC,COUNT
347,864, BUILDING MATERIAL,1
261,678, ANARCHY CRIMINAL,1
258,667, HIND PROSEC. TERR 2,1
349,868, GYPSY CAB,1
345,861, AIRPOLLUTION,1
88,345, LARCENY PETIT OF BOAT,1
16,168, SODOMY 1,1
236,622, UNDER THE INFLUENCE OF DRUGS,1
234,614, LOITERING SCHOOL,1
313,786, WEAPONS PROHIBITED USE,1
