,PD_CD,PD_DESC,COUNT
0,101, ASSAULT 3,472361
254,638, HARASSMENT SUBD 3 4 5,408300
255,639, AGGRAVATED HARASSMENT 2,297711
253,637, HARASSMENT SUBD 1 CIVILIAN,251727
90,333, LARCENY PETIT FROM STORE-SHOPL,237312
92,338, LARCENY PETIT FROM BUILDING UN,235732
56,254, MISCHIEF  CRIMINAL 4  OF MOTOR,198169
85,321, LARCENY PETIT FROM AUTO,184877
234,567, MARIJUANA  POSSESSION 4 & 5,179435
5,109, ASSAULT 2 1 UNCLASSIFIED,167073
59,259, CRIMINAL MISCHIEF UNCLASSIFIED 4,157486
