,OFNS_DESC,PARKS_NM,COUNT
82,ASSAULT 3 & RELATED OFFENSES, CADMAN PLAZA PARK,1
83,ASSAULT 3 & RELATED OFFENSES, CALLAHAN-KELLY PLAYGROUND,1
84,ASSAULT 3 & RELATED OFFENSES, CALVERT VAUX PARK,2
85,ASSAULT 3 & RELATED OFFENSES, CAMBRIA PLAYGROUND,2
86,ASSAULT 3 & RELATED OFFENSES, CANARSIE PARK,1
87,ASSAULT 3 & RELATED OFFENSES, CAPTAIN TILLY PARK,5
88,ASSAULT 3 & RELATED OFFENSES, CARL SCHURZ PARK,1
89,ASSAULT 3 & RELATED OFFENSES, CARMANSVILLE PLAYGROUND,2
90,ASSAULT 3 & RELATED OFFENSES, CARROLL PARK,1
91,ASSAULT 3 & RELATED OFFENSES, CASTLE HILL PLAYGROUND,1
92,ASSAULT 3 & RELATED OFFENSES, CEDAR PLAYGROUND,2
93,ASSAULT 3 & RELATED OFFENSES, CENTRAL PARK,65
94,ASSAULT 3 & RELATED OFFENSES, CENTREVILLE PLAYGROUND,1
95,ASSAULT 3 & RELATED OFFENSES, CHELSEA PARK,2
96,ASSAULT 3 & RELATED OFFENSES, CHERRY TREE PARK,2
97,ASSAULT 3 & RELATED OFFENSES, CHESTER PLAYGROUND,2
98,ASSAULT 3 & RELATED OFFENSES, CITY HALL PARK,1
99,ASSAULT 3 & RELATED OFFENSES, CLAREMONT PARK,10
100,ASSAULT 3 & RELATED OFFENSES, CLEOPATRA PLAYGROUND,1
101,ASSAULT 3 & RELATED OFFENSES, CLOVE LAKES PARK,3
102,ASSAULT 3 & RELATED OFFENSES, COL. YOUNG PLAYGROUND,1
103,ASSAULT 3 & RELATED OFFENSES, COLGATE CLOSE,1
104,ASSAULT 3 & RELATED OFFENSES, COLUMBUS PARK AT MANHATTAN,3
105,ASSAULT 3 & RELATED OFFENSES, CONEY ISLAND BEACH & BOARDWALK,36
106,ASSAULT 3 & RELATED OFFENSES, COOPER TRIANGLE,1
107,ASSAULT 3 & RELATED OFFENSES, CORLEARS HOOK PARK,1
108,ASSAULT 3 & RELATED OFFENSES, CORONA PLAZA,1
109,ASSAULT 3 & RELATED OFFENSES, CPL. THOMPSON PARK,3
110,ASSAULT 3 & RELATED OFFENSES, CROTONA PARK,10
111,ASSAULT 3 & RELATED OFFENSES, CROTONA PARKWAY MALLS,1
112,ASSAULT 3 & RELATED OFFENSES, CUNNINGHAM PARK,2
113,ASSAULT 3 & RELATED OFFENSES," ""DAURIA-MURPHY TRIANGLE""",1
114,ASSAULT 3 & RELATED OFFENSES, DAWSON PLAYGROUND,1
115,ASSAULT 3 & RELATED OFFENSES, DE WITT CLINTON PARK,1
116,ASSAULT 3 & RELATED OFFENSES, DEAN PLAYGROUND,1
117,ASSAULT 3 & RELATED OFFENSES, DETECTIVE KEITH L WILLIAMS PARK,2
118,ASSAULT 3 & RELATED OFFENSES, DEVOE PARK,2
119,ASSAULT 3 & RELATED OFFENSES, DI GILIO PLAYGROUND,1
120,ASSAULT 3 & RELATED OFFENSES, DITMARS PARK,5
121,ASSAULT 3 & RELATED OFFENSES, DOUGHBOY PLAZA,1
122,ASSAULT 3 & RELATED OFFENSES, DR. GERTRUDE B. KELLY PLAYGROUND,1
123,ASSAULT 3 & RELATED OFFENSES, DR. GREEN PLAYGROUND,1
124,ASSAULT 3 & RELATED OFFENSES, DREW PLAYGROUND,4
125,ASSAULT 3 & RELATED OFFENSES, DUTCH KILLS PLAYGROUND,1
126,ASSAULT 3 & RELATED OFFENSES, DYKER BEACH PARK,8
127,ASSAULT 3 & RELATED OFFENSES, EAST ELMHURST PLAYGROUND,1
128,ASSAULT 3 & RELATED OFFENSES, EAST RIVER PARK,2
129,ASSAULT 3 & RELATED OFFENSES, EASTCHESTER PLAYGROUND,1
130,ASSAULT 3 & RELATED OFFENSES, ECHO TRIANGLE,2
131,ASSAULT 3 & RELATED OFFENSES, EDENWALD PLAYGROUND,1
132,ASSAULT 3 & RELATED OFFENSES, EHRENREICH-AUSTIN PLAYGROUND,1
133,ASSAULT 3 & RELATED OFFENSES, ELMHURST PARK,3
134,ASSAULT 3 & RELATED OFFENSES, ELTON PLAYGROUND,1
135,ASSAULT 3 & RELATED OFFENSES, EMERALD PLAYGROUND,2
136,ASSAULT 3 & RELATED OFFENSES, EWEN PARK,1
137,ASSAULT 3 & RELATED OFFENSES, FERRY POINT PARK,2
138,ASSAULT 3 & RELATED OFFENSES, FISH PLAYGROUND,1
139,ASSAULT 3 & RELATED OFFENSES, FLOYD PATTERSON BALLFIELDS,2
140,ASSAULT 3 & RELATED OFFENSES, FLUSHING FIELDS,1
141,ASSAULT 3 & RELATED OFFENSES, FLUSHING MEADOWS CORONA PARK,45
142,ASSAULT 3 & RELATED OFFENSES, FLYNN PLAYGROUND,1
143,ASSAULT 3 & RELATED OFFENSES, FOREST PARK,1
144,ASSAULT 3 & RELATED OFFENSES, FORT GREENE PARK,9
145,ASSAULT 3 & RELATED OFFENSES, FORT HAMILTON ATHLETIC FIELD,1
146,ASSAULT 3 & RELATED OFFENSES, FOX PLAYGROUND BRONX,3
147,ASSAULT 3 & RELATED OFFENSES, FOX PLAYGROUND BROOKLYN,1
148,ASSAULT 3 & RELATED OFFENSES, FRANCIS LEWIS PARK,1
149,ASSAULT 3 & RELATED OFFENSES," ""FRANK D. OCONNOR PLAYGROUND""",1
150,ASSAULT 3 & RELATED OFFENSES, FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,1
151,ASSAULT 3 & RELATED OFFENSES, FRANZ SIGEL PARK,4
152,ASSAULT 3 & RELATED OFFENSES, FREDERICK DOUGLASS PLAYGROUND,4
153,ASSAULT 3 & RELATED OFFENSES, FRIENDS FIELD,4
154,ASSAULT 3 & RELATED OFFENSES, FRONTERA PARK,1
155,ASSAULT 3 & RELATED OFFENSES, FULTON PARK,2
156,ASSAULT 3 & RELATED OFFENSES, GALILEO PLAYGROUND,1
157,ASSAULT 3 & RELATED OFFENSES, GARDEN BEAUTIFUL,2
158,ASSAULT 3 & RELATED OFFENSES, GARIBALDI PLAYGROUND,1
159,ASSAULT 3 & RELATED OFFENSES, GLENWOOD PLAYGROUND,1
160,ASSAULT 3 & RELATED OFFENSES, GOBLE PLAYGROUND,1
161,ASSAULT 3 & RELATED OFFENSES, GORMAN PARK,2
162,ASSAULT 3 & RELATED OFFENSES, GOUVERNEUR PLAYGROUND,1
163,ASSAULT 3 & RELATED OFFENSES, GRACE PLAYGROUND,1
164,ASSAULT 3 & RELATED OFFENSES, GRAVESEND PARK,1
165,ASSAULT 3 & RELATED OFFENSES, GREAT KILLS PARK,1
166,ASSAULT 3 & RELATED OFFENSES, GROVER CLEVELAND PLAYGROUND,6
167,ASSAULT 3 & RELATED OFFENSES, HAFFEN PARK,1
168,ASSAULT 3 & RELATED OFFENSES, HAGGERTY PARK,1
169,ASSAULT 3 & RELATED OFFENSES, HAMILTON FISH PARK,1
170,ASSAULT 3 & RELATED OFFENSES, HAMILTON METZ FIELD,3
171,ASSAULT 3 & RELATED OFFENSES, HAPPY WARRIOR PLAYGROUND,1
172,ASSAULT 3 & RELATED OFFENSES, HARLEM ART PARK,1
173,ASSAULT 3 & RELATED OFFENSES, HARLEM RIVER PARK,1
174,ASSAULT 3 & RELATED OFFENSES, HAROLD SCHNEIDERMAN PLAYGROUND,1
175,ASSAULT 3 & RELATED OFFENSES, HARRIS PARK,1
176,ASSAULT 3 & RELATED OFFENSES, HART PLAYGROUND ON BROADWAY,4
177,ASSAULT 3 & RELATED OFFENSES, HARVEY PARK,1
178,ASSAULT 3 & RELATED OFFENSES," ""HELLS KITCHEN PARK""",1
179,ASSAULT 3 & RELATED OFFENSES, HERALD SQUARE,1
180,ASSAULT 3 & RELATED OFFENSES, HERBERT VON KING PARK,7
181,ASSAULT 3 & RELATED OFFENSES, HIGHBRIDGE PARK MANHATTAN SIDE,6
182,ASSAULT 3 & RELATED OFFENSES, HIGHLAND PARK,3
183,ASSAULT 3 & RELATED OFFENSES, HILLSIDE PARK QUEENS,1
184,ASSAULT 3 & RELATED OFFENSES, HINES PARK,2
185,ASSAULT 3 & RELATED OFFENSES, HINTON PARK,1
186,ASSAULT 3 & RELATED OFFENSES, HOFFMAN PARK,5
187,ASSAULT 3 & RELATED OFFENSES, HORACE HARDING PLAYGROUND,1
188,ASSAULT 3 & RELATED OFFENSES, HOUSTON PLAYGROUND,1
189,ASSAULT 3 & RELATED OFFENSES, HOWARD BENNETT PLAYGROUND,1
190,ASSAULT 3 & RELATED OFFENSES, HOWARD PLAYGROUND,1
191,ASSAULT 3 & RELATED OFFENSES, HOYT PLAYGROUND,1
192,ASSAULT 3 & RELATED OFFENSES," ""HUNTERS POINT SOUTH PARK""",3
193,ASSAULT 3 & RELATED OFFENSES, IDLEWILD PARK,2
194,ASSAULT 3 & RELATED OFFENSES, INWOOD HILL PARK,3
195,ASSAULT 3 & RELATED OFFENSES, J.J. BYRNE PLAYGROUND,1
196,ASSAULT 3 & RELATED OFFENSES, JACKIE ROBINSON PARK BROOKLYN,1
197,ASSAULT 3 & RELATED OFFENSES, JACKIE ROBINSON PARK MANHATTAN,6
198,ASSAULT 3 & RELATED OFFENSES, JACKIE ROBINSON PLAYGROUND,4
199,ASSAULT 3 & RELATED OFFENSES, JAMAICA PLAYGROUND,1
200,ASSAULT 3 & RELATED OFFENSES, JAMES J WALKER PARK,1
201,ASSAULT 3 & RELATED OFFENSES, JEROME PARK,2
202,ASSAULT 3 & RELATED OFFENSES, JEROME SLOPE,1
203,ASSAULT 3 & RELATED OFFENSES, JOHN HANCOCK PLAYGROUND,2
204,ASSAULT 3 & RELATED OFFENSES, JOSEPH RODMAN DRAKE PARK,1
205,ASSAULT 3 & RELATED OFFENSES, JOYCE KILMER PARK,6
206,ASSAULT 3 & RELATED OFFENSES, JUDGE MOSES WEINSTEIN PLAYGROUND,1
207,ASSAULT 3 & RELATED OFFENSES, JUNCTION PLAYGROUND,1
208,ASSAULT 3 & RELATED OFFENSES, JUNIPER VALLEY PARK,2
209,ASSAULT 3 & RELATED OFFENSES, KAISER PARK,6
210,ASSAULT 3 & RELATED OFFENSES, KELLY PARK,2
211,ASSAULT 3 & RELATED OFFENSES, KENNEDY PLAYGROUND,1
212,ASSAULT 3 & RELATED OFFENSES, KISSENA CORRIDOR PARK,3
213,ASSAULT 3 & RELATED OFFENSES, KISSENA PARK,1
214,ASSAULT 3 & RELATED OFFENSES, KOLBERT PLAYGROUND,2
215,ASSAULT 3 & RELATED OFFENSES, KOSCIUSZKO POOL,1
216,ASSAULT 3 & RELATED OFFENSES, L/CPL THOMAS P. NOONAN JR. PLAYGROUND,1
217,ASSAULT 3 & RELATED OFFENSES, LA PLAZA CULTURAL,1
218,ASSAULT 3 & RELATED OFFENSES, LEFFERTS PLAYGROUND,1
219,ASSAULT 3 & RELATED OFFENSES, LEIF ERICSON PARK,3
220,ASSAULT 3 & RELATED OFFENSES, LINCOLN TERRACE / ARTHUR S. SOMERS PARK,10
221,ASSAULT 3 & RELATED OFFENSES, LINDSAY TRIANGLE,3
222,ASSAULT 3 & RELATED OFFENSES, LOPEZ PLAYGROUND,1
223,ASSAULT 3 & RELATED OFFENSES, LOUIS ARMSTRONG PLAYGROUND,1
224,ASSAULT 3 & RELATED OFFENSES, LUNA PARK,5
225,ASSAULT 3 & RELATED OFFENSES, LUTHER GULICK PLAYGROUND,1
226,ASSAULT 3 & RELATED OFFENSES, LYONS SQUARE PLAYGROUND,1
227,ASSAULT 3 & RELATED OFFENSES, MACDONALD PARK,1
228,ASSAULT 3 & RELATED OFFENSES, MACOMBS DAM PARK,7
229,ASSAULT 3 & RELATED OFFENSES, MADISON COMMUNITY GREENTHUMB,2
230,ASSAULT 3 & RELATED OFFENSES, MAE GRANT PLAYGROUND,1
231,ASSAULT 3 & RELATED OFFENSES, MAFERA PARK,3
232,ASSAULT 3 & RELATED OFFENSES, MAJOR MARK PARK,1
233,ASSAULT 3 & RELATED OFFENSES, MANHATTAN BEACH PARK,2
234,ASSAULT 3 & RELATED OFFENSES, MANOR PARK,1
235,ASSAULT 3 & RELATED OFFENSES, MAPLE PLAYGROUND,2
236,ASSAULT 3 & RELATED OFFENSES," ""MARC AND JASONS PLAYGROUND""",2
237,ASSAULT 3 & RELATED OFFENSES, MARCONI PARK,1
238,ASSAULT 3 & RELATED OFFENSES, MARCUS GARVEY PARK,9
239,ASSAULT 3 & RELATED OFFENSES, MARCY PLAYGROUND,2
240,ASSAULT 3 & RELATED OFFENSES, MARIA HERNANDEZ PARK,23
241,ASSAULT 3 & RELATED OFFENSES, MARIE CURIE PARK,3
242,ASSAULT 3 & RELATED OFFENSES, MARINE PARK,4
243,ASSAULT 3 & RELATED OFFENSES, MARION HOPKINSON PLAYGROUND,1
244,ASSAULT 3 & RELATED OFFENSES, MARTIN LUTHER KING JR. PLAYGROUND,1
245,ASSAULT 3 & RELATED OFFENSES, MATTHEWS MULINER PLAYGROUND,2
246,ASSAULT 3 & RELATED OFFENSES, MAURICE A FITZGERALD PLAYGROUND,1
247,ASSAULT 3 & RELATED OFFENSES, MCCARREN PARK,6
248,ASSAULT 3 & RELATED OFFENSES, MCDONALD PLAYGROUND BROOKLYN,1
249,ASSAULT 3 & RELATED OFFENSES, MCKINLEY SQUARE,1
250,ASSAULT 3 & RELATED OFFENSES, MCLAUGHLIN PARK,3
251,ASSAULT 3 & RELATED OFFENSES, MELLETT PLAYGROUND,1
252,ASSAULT 3 & RELATED OFFENSES, MERCER PLAYGROUND,1
253,ASSAULT 3 & RELATED OFFENSES, MIDDLE VILLAGE PLAYGROUND,1
254,ASSAULT 3 & RELATED OFFENSES, MIDDLETON PLAYGROUND,1
255,ASSAULT 3 & RELATED OFFENSES, MIDLAND PLAYGROUND,1
256,ASSAULT 3 & RELATED OFFENSES, MILESTONE PARK,1
257,ASSAULT 3 & RELATED OFFENSES, MOORE HOMESTEAD PLAYGROUND,6
258,ASSAULT 3 & RELATED OFFENSES, MORNINGSIDE PARK,12
259,ASSAULT 3 & RELATED OFFENSES, MOUNT HOPE PLAYGROUND,1
260,ASSAULT 3 & RELATED OFFENSES, MSGR. MCGOLRICK PARK,3
261,ASSAULT 3 & RELATED OFFENSES, MULLALY PARK,14
262,ASSAULT 3 & RELATED OFFENSES, MURRAY PLAYGROUND,1
263,ASSAULT 3 & RELATED OFFENSES, NELSON PLAYGROUND,2
264,ASSAULT 3 & RELATED OFFENSES, NEWPORT PLAYGROUND,1
265,ASSAULT 3 & RELATED OFFENSES, NOBLE PLAYGROUND,1
266,ASSAULT 3 & RELATED OFFENSES, NORTHERN PLAYGROUND,6
267,ASSAULT 3 & RELATED OFFENSES, NOSTRAND PLAYGROUND,2
268,ASSAULT 3 & RELATED OFFENSES, OGDEN PLIMPTON PLAYGROUND,1
269,ASSAULT 3 & RELATED OFFENSES, OPEN ROAD PARK,1
270,ASSAULT 3 & RELATED OFFENSES, OSBORN PLAYGROUND,1
271,ASSAULT 3 & RELATED OFFENSES, P.O. REINALDO SALGADO PLAYGROUND,2
272,ASSAULT 3 & RELATED OFFENSES, P.O. SERRANO PLAYGROUND,1
273,ASSAULT 3 & RELATED OFFENSES, P.S. 125 PLAYGROUND,1
274,ASSAULT 3 & RELATED OFFENSES, PAERDEGAT PARK,2
275,ASSAULT 3 & RELATED OFFENSES, PARADE GROUND,6
276,ASSAULT 3 & RELATED OFFENSES, PARK OF THE AMERICAS,5
277,ASSAULT 3 & RELATED OFFENSES, PARKSIDE PLAYGROUND BROOKLYN,2
278,ASSAULT 3 & RELATED OFFENSES, PAUL RAIMONDA PLAYGROUND,1
279,ASSAULT 3 & RELATED OFFENSES, PELHAM BAY PARK,2
280,ASSAULT 3 & RELATED OFFENSES, PELHAM PARKWAY,1
281,ASSAULT 3 & RELATED OFFENSES," ""PEOPLES PARK""",1
282,ASSAULT 3 & RELATED OFFENSES, PETERS FIELD,1
283,ASSAULT 3 & RELATED OFFENSES, PLAYGROUND 52 LII,3
284,ASSAULT 3 & RELATED OFFENSES, PLAYGROUND NINETY,1
285,ASSAULT 3 & RELATED OFFENSES, PLAYGROUND THIRTY FIVE XXXV,2
286,ASSAULT 3 & RELATED OFFENSES, PLEASANT PARK GARDEN,1
287,ASSAULT 3 & RELATED OFFENSES, POE PARK,1
288,ASSAULT 3 & RELATED OFFENSES," ""POOR RICHARDS PLAYGROUND""",3
289,ASSAULT 3 & RELATED OFFENSES, POPPENHUSEN PLAYGROUND,1
290,ASSAULT 3 & RELATED OFFENSES," ""PRINTERS PARK""",2
291,ASSAULT 3 & RELATED OFFENSES, PROSPECT PARK,23
292,ASSAULT 3 & RELATED OFFENSES, PUBLIC PLACE,1
293,ASSAULT 3 & RELATED OFFENSES, QUEENSBRIDGE PARK,3
294,ASSAULT 3 & RELATED OFFENSES, RAINBOW PLAYGROUND,2
295,ASSAULT 3 & RELATED OFFENSES, RAINEY PARK BRONX,9
296,ASSAULT 3 & RELATED OFFENSES, RANAQUA PARK,1
297,ASSAULT 3 & RELATED OFFENSES, RAPPAPORT PLAYGROUND,1
298,ASSAULT 3 & RELATED OFFENSES, RAYMOND BUSH PLAYGROUND,3
299,ASSAULT 3 & RELATED OFFENSES, RECREATIONAL AREA,2
300,ASSAULT 3 & RELATED OFFENSES, REDFERN PLAYGROUND,2
301,ASSAULT 3 & RELATED OFFENSES, RICHMAN ECHO PARK,2
302,ASSAULT 3 & RELATED OFFENSES, RIVER AVENUE PARKS,1
303,ASSAULT 3 & RELATED OFFENSES, RIVERSIDE PARK,12
304,ASSAULT 3 & RELATED OFFENSES, ROCK GARDEN PARK,1
305,ASSAULT 3 & RELATED OFFENSES, ROCKAWAY BEACH AND BOARDWALK,11
306,ASSAULT 3 & RELATED OFFENSES, ROCKAWAY COMMUNITY PARK,1
307,ASSAULT 3 & RELATED OFFENSES," ""ROSEMARYS PLAYGROUND""",1
308,ASSAULT 3 & RELATED OFFENSES, ROY WILKINS RECREATION CENTER,4
309,ASSAULT 3 & RELATED OFFENSES, RUFUS KING PARK,6
310,ASSAULT 3 & RELATED OFFENSES, RUSSELL PEDERSEN PLAYGROUND,2
311,ASSAULT 3 & RELATED OFFENSES, SAMUEL SEABURY PLAYGROUND,2
312,ASSAULT 3 & RELATED OFFENSES, SARA D. ROOSEVELT PARK,11
313,ASSAULT 3 & RELATED OFFENSES, SETH LOW PLAYGROUND/ BEALIN SQUARE,1
314,ASSAULT 3 & RELATED OFFENSES, SETON PARK,3
315,ASSAULT 3 & RELATED OFFENSES, SEWARD PARK,2
316,ASSAULT 3 & RELATED OFFENSES, SHEEPSHEAD PLAYGROUND,1
317,ASSAULT 3 & RELATED OFFENSES, SIMEONE PARK,2
318,ASSAULT 3 & RELATED OFFENSES, SLATTERY PLAYGROUND,2
319,ASSAULT 3 & RELATED OFFENSES, SOUNDVIEW PARK,4
320,ASSAULT 3 & RELATED OFFENSES, SPRINGFIELD PARK,1
321,ASSAULT 3 & RELATED OFFENSES," ""ST. ANDREWS PLAYGROUND""",5
322,ASSAULT 3 & RELATED OFFENSES, ST. JAMES PARK,12
323,ASSAULT 3 & RELATED OFFENSES," ""ST. JOHNS RECREATION CENTER""",6
324,ASSAULT 3 & RELATED OFFENSES," ""ST. MARYS PARK BRONX""",13
325,ASSAULT 3 & RELATED OFFENSES," ""ST. MICHAELS PARK""",2
326,ASSAULT 3 & RELATED OFFENSES," ""ST. MICHAELS PLAYGROUND""",1
327,ASSAULT 3 & RELATED OFFENSES, ST. NICHOLAS PARK,8
328,ASSAULT 3 & RELATED OFFENSES, ST. NICHOLAS PLAYGROUND NORTH,1
329,ASSAULT 3 & RELATED OFFENSES, STANLEY ISAACS PLAYGROUND,1
330,ASSAULT 3 & RELATED OFFENSES, STAR SPANGLED PLAYGROUND,1
331,ASSAULT 3 & RELATED OFFENSES, STERNBERG PARK,2
332,ASSAULT 3 & RELATED OFFENSES, STROUD PLAYGROUND,1
333,ASSAULT 3 & RELATED OFFENSES, STUYVESANT SQUARE,3
334,ASSAULT 3 & RELATED OFFENSES, SUMNER PLAYGROUND,1
335,ASSAULT 3 & RELATED OFFENSES, SUNSET PARK,15
336,ASSAULT 3 & RELATED OFFENSES, SUNSHINE PLAYGROUND,1
337,ASSAULT 3 & RELATED OFFENSES, TAYLOR PLAYGROUND,1
338,ASSAULT 3 & RELATED OFFENSES, THE HIGH LINE,1
339,ASSAULT 3 & RELATED OFFENSES," ""THE PAINTERS PLAYGROUND""",1
340,ASSAULT 3 & RELATED OFFENSES, THE PEARLY GATES,1
341,ASSAULT 3 & RELATED OFFENSES, THOMAS JEFFERSON PARK,7
342,ASSAULT 3 & RELATED OFFENSES, THURSBY BASIN PARK,1
343,ASSAULT 3 & RELATED OFFENSES, TIFFANY PLAYGROUND,1
344,ASSAULT 3 & RELATED OFFENSES, TILDEN PLAYGROUND,1
345,ASSAULT 3 & RELATED OFFENSES, TOAD HALL PLAYGROUND,1
346,ASSAULT 3 & RELATED OFFENSES, TOMPKINS SQUARE PARK,9
347,ASSAULT 3 & RELATED OFFENSES, TOMPKINSVILLE PARK,2
348,ASSAULT 3 & RELATED OFFENSES, TORSNEY PLAYGROUND,1
349,ASSAULT 3 & RELATED OFFENSES, TRAVERS PARK,2
350,ASSAULT 3 & RELATED OFFENSES, TREMONT PARK,5
351,ASSAULT 3 & RELATED OFFENSES, TRINITY PARK,1
