,OFNS_DESC,PARKS_NM,COUNT
352,ASSAULT 3 & RELATED OFFENSES, UNDERHILL PLAYGROUND,1
353,ASSAULT 3 & RELATED OFFENSES, UNION SQUARE PARK,16
354,ASSAULT 3 & RELATED OFFENSES, UNNAMED PARK ON 3RD AVENUE,1
355,ASSAULT 3 & RELATED OFFENSES, UNNAMED PARK ON BERRIMAN STREET,1
356,ASSAULT 3 & RELATED OFFENSES, UNNAMED PARK ON BRUCKNER EXPRESSWAY WEST OF MORRISON AVENUE,2
357,ASSAULT 3 & RELATED OFFENSES, UNNAMED PARK ON GRAND AVENUE,1
358,ASSAULT 3 & RELATED OFFENSES, UNNAMED PARK ON RIVERSIDE DRIVE,3
359,ASSAULT 3 & RELATED OFFENSES, VAN CORTLANDT PARK,5
360,ASSAULT 3 & RELATED OFFENSES, VERDI SQUARE,2
361,ASSAULT 3 & RELATED OFFENSES, VETERNS CIRCLE,1
362,ASSAULT 3 & RELATED OFFENSES, VLADECK PARK,2
363,ASSAULT 3 & RELATED OFFENSES, WALTON PARK,1
364,ASSAULT 3 & RELATED OFFENSES, WARDS ISLAND PARK,1
365,ASSAULT 3 & RELATED OFFENSES, WASHINGTON MARKET PARK,1
366,ASSAULT 3 & RELATED OFFENSES, WASHINGTON SQUARE PARK,5
367,ASSAULT 3 & RELATED OFFENSES, WATSON GLEASON PLAYGROUND,2
368,ASSAULT 3 & RELATED OFFENSES, WAVE HILL,1
369,ASSAULT 3 & RELATED OFFENSES, WAYANDA PARK,1
370,ASSAULT 3 & RELATED OFFENSES, WEBSTER PLAYGROUND,1
371,ASSAULT 3 & RELATED OFFENSES, WEST 4TH STREET COURTS,1
372,ASSAULT 3 & RELATED OFFENSES, WHITE PLAYGROUND MANHATTAN,1
373,ASSAULT 3 & RELATED OFFENSES, WILLIAM SHERIDAN PLAYGROUND,1
374,ASSAULT 3 & RELATED OFFENSES, WILLIAMSBRIDGE OVAL,17
375,ASSAULT 3 & RELATED OFFENSES, WILLIS PLAYGROUND,1
376,ASSAULT 3 & RELATED OFFENSES, WINGATE PARK,3
377,ASSAULT 3 & RELATED OFFENSES, WNYC TRANSMITTER PARK,1
378,ASSAULT 3 & RELATED OFFENSES," ""WOLFES POND PARK""",1
379,ASSAULT 3 & RELATED OFFENSES, WOODS PLAYGROUND,2
380,ASSAULT 3 & RELATED OFFENSES, ZIMMERMAN PLAYGROUND,2
381,BURGLARS TOOLS, CARROLL PARK,1
382,BURGLARS TOOLS, MOTHER CABRINI PARK,1
383,BURGLARS TOOLS, PULASKI PLAYGROUND,1
384,BURGLARS TOOLS, RIVERSIDE PARK,1
385,BURGLARS TOOLS," ""ST. ANDREWS PLAYGROUND""",1
386,BURGLARS TOOLS, UNION SQUARE PARK,1
387,BURGLARY, BETSY HEAD PARK,1
388,BURGLARY, BILL BROWN PLAYGROUND,1
389,BURGLARY, BRYANT PARK,3
390,BURGLARY, CANARSIE PARK,1
391,BURGLARY, CENTRAL PARK,7
392,BURGLARY, CONEY ISLAND BEACH & BOARDWALK,1
393,BURGLARY, CROTONA PARK,1
394,BURGLARY, EL BATEY BORINCANO GARDEN,1
395,BURGLARY, FERRY POINT PARK,1
396,BURGLARY, FLUSHING MEADOWS CORONA PARK,13
397,BURGLARY, FOREST PARK,3
398,BURGLARY, FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,2
399,BURGLARY, GRAVESEND PARK,1
400,BURGLARY, HAMILTON METZ FIELD,1
401,BURGLARY, HIGHBRIDGE PARK MANHATTAN SIDE,1
402,BURGLARY, HUNTS POINT PLAYGROUND,1
403,BURGLARY, J.J. BYRNE PLAYGROUND,1
404,BURGLARY, LUNA PARK,1
405,BURGLARY, MORNINGSIDE PARK,1
406,BURGLARY, MOUNT EDEN MALLS,1
407,BURGLARY, OCEAN BREEZE PARK,1
408,BURGLARY, PELHAM BAY LITTLE LEAGUE,1
409,BURGLARY, POE PARK,1
410,BURGLARY, PROSPECT PARK,1
411,BURGLARY," ""RANDALLS ISLAND PARK""",3
412,BURGLARY, RIVERSIDE PARK,3
413,BURGLARY, SITTING AREA AT HOYT AVENUE,1
414,BURGLARY, SOL BLOOM PLAYGROUND,2
415,BURGLARY," ""ST. MARYS PARK BRONX""",2
416,BURGLARY, SUNSET PARK,1
417,BURGLARY, THOMAS BOYLAND PARK,1
418,BURGLARY, UNION SQUARE PARK,1
419,BURGLARY, UNNAMED PARK ON E 175TH STREET,1
420,BURGLARY, VAN CORTLANDT PARK,5
421,BURGLARY, WARDS ISLAND PARK,1
422,BURGLARY, WINGATE PARK,1
423,CHILD ABANDONMENT/NON SUPPORT, STUYVESANT SQUARE,1
424,CRIMINAL MISCHIEF & RELATED OF," ""UNCLE"" VITO E. MARANZANO GLENDALE PLAYGROUND",1
425,CRIMINAL MISCHIEF & RELATED OF, ADAM YAUCH PARK,1
426,CRIMINAL MISCHIEF & RELATED OF, ADMIRAL FARRAGUT PLAYGROUND,1
427,CRIMINAL MISCHIEF & RELATED OF, ALBERT CAPSOUTO PARK,1
428,CRIMINAL MISCHIEF & RELATED OF, ALICE AUSTEN PARK,1
429,CRIMINAL MISCHIEF & RELATED OF, ALLEY ATHLETIC PLAYGROUND,2
430,CRIMINAL MISCHIEF & RELATED OF, ALLEY PARK,7
431,CRIMINAL MISCHIEF & RELATED OF, ALLEY POND PARK,18
432,CRIMINAL MISCHIEF & RELATED OF, ALMEDA PLAYGROUND,1
433,CRIMINAL MISCHIEF & RELATED OF, AMERICAN PLAYGROUND,1
434,CRIMINAL MISCHIEF & RELATED OF, AMERSFORT PARK,1
435,CRIMINAL MISCHIEF & RELATED OF, ANNADALE PLAYGROUND,2
436,CRIMINAL MISCHIEF & RELATED OF, ARROCHAR PLAYGROUND,1
437,CRIMINAL MISCHIEF & RELATED OF, ASSER LEVY PARK,3
438,CRIMINAL MISCHIEF & RELATED OF, ASTORIA HEIGHTS PLAYGROUND,2
439,CRIMINAL MISCHIEF & RELATED OF, ASTORIA PARK,5
440,CRIMINAL MISCHIEF & RELATED OF, BAISLEY POND PARK,2
441,CRIMINAL MISCHIEF & RELATED OF, BATH BEACH PARK,2
442,CRIMINAL MISCHIEF & RELATED OF, BATTERY PARK CITY,22
443,CRIMINAL MISCHIEF & RELATED OF, BAYSWATER PARK,2
444,CRIMINAL MISCHIEF & RELATED OF, BEACH 9 PLAYGROUND,1
445,CRIMINAL MISCHIEF & RELATED OF, BEHAGEN PLAYGROUND,1
446,CRIMINAL MISCHIEF & RELATED OF, BIG BUSH PARK,1
447,CRIMINAL MISCHIEF & RELATED OF, BILL BROWN PLAYGROUND,2
448,CRIMINAL MISCHIEF & RELATED OF, BLOOMINGDALE PLAYGROUND,1
449,CRIMINAL MISCHIEF & RELATED OF, BLUE HERON PARK,1
450,CRIMINAL MISCHIEF & RELATED OF, BOWNE PARK,1
451,CRIMINAL MISCHIEF & RELATED OF, BROAD CHANNEL AMERICAN PARK,1
452,CRIMINAL MISCHIEF & RELATED OF, BROADWAY MALLS,1
453,CRIMINAL MISCHIEF & RELATED OF, BRONX PARK,8
454,CRIMINAL MISCHIEF & RELATED OF, BRONX RIVER PARKWAY,2
455,CRIMINAL MISCHIEF & RELATED OF, BROOKLYN BRIDGE PARK,2
456,CRIMINAL MISCHIEF & RELATED OF, BROOKVILLE PARK,1
457,CRIMINAL MISCHIEF & RELATED OF, BROWER PARK,2
458,CRIMINAL MISCHIEF & RELATED OF, BRYANT PARK,3
459,CRIMINAL MISCHIEF & RELATED OF, BULOVA PARK,1
460,CRIMINAL MISCHIEF & RELATED OF, BUSHWICK INLET PARK,1
461,CRIMINAL MISCHIEF & RELATED OF, BUSHWICK PLAYGROUND ON KNICKERBOCKER AVENUE,1
462,CRIMINAL MISCHIEF & RELATED OF, CALLAHAN-KELLY PLAYGROUND,1
463,CRIMINAL MISCHIEF & RELATED OF, CALVERT VAUX PARK,1
464,CRIMINAL MISCHIEF & RELATED OF, CANARSIE PARK,3
465,CRIMINAL MISCHIEF & RELATED OF, CAPTAIN DERMODY TRIANGLE,1
466,CRIMINAL MISCHIEF & RELATED OF, CAPTAIN TILLY PARK,1
467,CRIMINAL MISCHIEF & RELATED OF, CARL SCHURZ PARK,3
468,CRIMINAL MISCHIEF & RELATED OF, CARROLL PARK,5
469,CRIMINAL MISCHIEF & RELATED OF, CARVER PLAYGROUND,1
470,CRIMINAL MISCHIEF & RELATED OF, CASTLE HILL LITTLE LEAGUE FIELD,1
471,CRIMINAL MISCHIEF & RELATED OF, CENTRAL PARK,65
472,CRIMINAL MISCHIEF & RELATED OF, CENTREVILLE PLAYGROUND,1
473,CRIMINAL MISCHIEF & RELATED OF, CHELSEA PARK,2
474,CRIMINAL MISCHIEF & RELATED OF, CHESTER PLAYGROUND,1
475,CRIMINAL MISCHIEF & RELATED OF, CITY HALL PARK,1
476,CRIMINAL MISCHIEF & RELATED OF, CLAREMONT PARK,3
477,CRIMINAL MISCHIEF & RELATED OF, CLINTONVILLE PLAYGROUND,2
478,CRIMINAL MISCHIEF & RELATED OF, CLOVE LAKES PARK,1
479,CRIMINAL MISCHIEF & RELATED OF, COL. YOUNG PLAYGROUND,2
480,CRIMINAL MISCHIEF & RELATED OF, COLEMAN PLAYGROUND,7
481,CRIMINAL MISCHIEF & RELATED OF, CONEY ISLAND BEACH & BOARDWALK,19
482,CRIMINAL MISCHIEF & RELATED OF, CONEY ISLAND CREEK PARK,1
483,CRIMINAL MISCHIEF & RELATED OF, COOPER PARK,1
484,CRIMINAL MISCHIEF & RELATED OF, CORONA GOLF PLAYGROUND,1
485,CRIMINAL MISCHIEF & RELATED OF, CORONA MAC PARK,1
486,CRIMINAL MISCHIEF & RELATED OF, CORPORAL WILTSHIRE SQUARE,1
487,CRIMINAL MISCHIEF & RELATED OF, CROTONA PARK,7
488,CRIMINAL MISCHIEF & RELATED OF, CROWLEY PLAYGROUND,1
489,CRIMINAL MISCHIEF & RELATED OF, CUNNINGHAM PARK,1
490,CRIMINAL MISCHIEF & RELATED OF," ""DAURIA-MURPHY TRIANGLE""",1
491,CRIMINAL MISCHIEF & RELATED OF," ""DANIEL M. OCONNELL PLAYGROUND""",1
492,CRIMINAL MISCHIEF & RELATED OF, DANTE PARK,1
493,CRIMINAL MISCHIEF & RELATED OF, DE COLORES COMMUNITY YARD AND CULTURAL CENTER,2
494,CRIMINAL MISCHIEF & RELATED OF, DE WITT CLINTON PARK,2
495,CRIMINAL MISCHIEF & RELATED OF, DEVOE PARK,1
496,CRIMINAL MISCHIEF & RELATED OF, DITMARS PARK,1
497,CRIMINAL MISCHIEF & RELATED OF, DONGAN PLAYGROUND,1
498,CRIMINAL MISCHIEF & RELATED OF, DOUGHBOY PLAZA,1
499,CRIMINAL MISCHIEF & RELATED OF, DOWNING STREET PLAYGROUND,1
500,CRIMINAL MISCHIEF & RELATED OF, DUGAN PLAYGROUND,2
501,CRIMINAL MISCHIEF & RELATED OF, DUTCH KILLS PLAYGROUND,1
502,CRIMINAL MISCHIEF & RELATED OF, DYKER BEACH PARK,2
503,CRIMINAL MISCHIEF & RELATED OF, EAE J MITCHELL PARK,1
504,CRIMINAL MISCHIEF & RELATED OF, EAST ELMHURST PLAYGROUND,1
505,CRIMINAL MISCHIEF & RELATED OF, EAST RIVER ESPLANADE E 90TH ST TO E 125TH ST,1
506,CRIMINAL MISCHIEF & RELATED OF, EAST RIVER PARK,9
507,CRIMINAL MISCHIEF & RELATED OF, EAST RIVER WALK,1
508,CRIMINAL MISCHIEF & RELATED OF, EAST RIVER WATERFRONT ESPLANADE,1
509,CRIMINAL MISCHIEF & RELATED OF, EHRENREICH-AUSTIN PLAYGROUND,1
510,CRIMINAL MISCHIEF & RELATED OF, ELEANOR ROOSEVELT PLAYGROUND,1
511,CRIMINAL MISCHIEF & RELATED OF, EQUITY PARK,1
512,CRIMINAL MISCHIEF & RELATED OF, EVERGREEN PARK,2
513,CRIMINAL MISCHIEF & RELATED OF, FABER POOL AND PARK,1
514,CRIMINAL MISCHIEF & RELATED OF, FERRY POINT PARK,1
515,CRIMINAL MISCHIEF & RELATED OF, FIRST PARK,1
516,CRIMINAL MISCHIEF & RELATED OF, FLUSHING FIELDS,1
517,CRIMINAL MISCHIEF & RELATED OF, FLUSHING MEADOWS CORONA PARK,52
518,CRIMINAL MISCHIEF & RELATED OF, FOREST PARK,23
519,CRIMINAL MISCHIEF & RELATED OF, FORT GREENE PARK,6
520,CRIMINAL MISCHIEF & RELATED OF, FORT HAMILTON ATHLETIC FIELD,1
521,CRIMINAL MISCHIEF & RELATED OF, FORT TRYON PARK,2
522,CRIMINAL MISCHIEF & RELATED OF, FORT WASHINGTON PARK,18
523,CRIMINAL MISCHIEF & RELATED OF, FRANCIS LEWIS PARK,1
524,CRIMINAL MISCHIEF & RELATED OF," ""FRANK D. OCONNOR PLAYGROUND""",1
525,CRIMINAL MISCHIEF & RELATED OF, FRONTERA PARK,1
526,CRIMINAL MISCHIEF & RELATED OF, GEN. DOUGLAS MACARTHUR PARK,1
527,CRIMINAL MISCHIEF & RELATED OF, GEORGIA AVE GARDEN,1
528,CRIMINAL MISCHIEF & RELATED OF, GIVANS CREEK WOODS,1
529,CRIMINAL MISCHIEF & RELATED OF, GORMAN PARK,2
530,CRIMINAL MISCHIEF & RELATED OF, GOUVERNEUR PLAYGROUND,1
531,CRIMINAL MISCHIEF & RELATED OF, GRAND CENTRAL PARKWAY,2
532,CRIMINAL MISCHIEF & RELATED OF, GRAVESEND PARK,1
533,CRIMINAL MISCHIEF & RELATED OF, GREAT KILLS PARK,1
534,CRIMINAL MISCHIEF & RELATED OF, GREENCROFT PLAYGROUND,1
535,CRIMINAL MISCHIEF & RELATED OF, GREENPOINT PLAYGROUND,1
536,CRIMINAL MISCHIEF & RELATED OF, GROVER CLEVELAND PLAYGROUND,1
537,CRIMINAL MISCHIEF & RELATED OF, HAFFEN PARK,1
538,CRIMINAL MISCHIEF & RELATED OF, HAMILTON FISH PARK,3
539,CRIMINAL MISCHIEF & RELATED OF, HAPPY WARRIOR PLAYGROUND,1
540,CRIMINAL MISCHIEF & RELATED OF, HARLEM LANE PLAYGROUND,1
541,CRIMINAL MISCHIEF & RELATED OF, HAROLD SCHNEIDERMAN PLAYGROUND,1
542,CRIMINAL MISCHIEF & RELATED OF, HARVEY PARK,1
543,CRIMINAL MISCHIEF & RELATED OF, HAVEN AVENUE,7
544,CRIMINAL MISCHIEF & RELATED OF, HERBERT VON KING PARK,1
545,CRIMINAL MISCHIEF & RELATED OF, HIGHBRIDGE PARK MANHATTAN SIDE,39
546,CRIMINAL MISCHIEF & RELATED OF, HILTON WHITE PLAYGROUND,1
547,CRIMINAL MISCHIEF & RELATED OF, HOFFMAN PARK,1
548,CRIMINAL MISCHIEF & RELATED OF, HOMECREST PLAYGROUND,9
549,CRIMINAL MISCHIEF & RELATED OF, HORACE HARDING PLAYGROUND,1
550,CRIMINAL MISCHIEF & RELATED OF, HOWARD BENNETT PLAYGROUND,1
551,CRIMINAL MISCHIEF & RELATED OF, IDLEWILD PARK,2
552,CRIMINAL MISCHIEF & RELATED OF, INWOOD HILL PARK,5
553,CRIMINAL MISCHIEF & RELATED OF, J. HOOD WRIGHT PARK,21
554,CRIMINAL MISCHIEF & RELATED OF, JACKIE ROBINSON PARK MANHATTAN,1
555,CRIMINAL MISCHIEF & RELATED OF, JACKIE ROBINSON PLAYGROUND,4
556,CRIMINAL MISCHIEF & RELATED OF, JAMES WELDON JOHNSON PLAYGROUND,1
557,CRIMINAL MISCHIEF & RELATED OF, JOHN JAY PARK,1
558,CRIMINAL MISCHIEF & RELATED OF, JOHN VINCENT DANIELS JR. SQUARE,1
559,CRIMINAL MISCHIEF & RELATED OF, JOYCE KILMER PARK,1
560,CRIMINAL MISCHIEF & RELATED OF, JUNIPER VALLEY PARK,1
561,CRIMINAL MISCHIEF & RELATED OF, KISSENA CORRIDOR PARK,1
562,CRIMINAL MISCHIEF & RELATED OF, KISSENA PARK,3
563,CRIMINAL MISCHIEF & RELATED OF, L/CPL THOMAS P. NOONAN JR. PLAYGROUND,1
564,CRIMINAL MISCHIEF & RELATED OF, LAWRENCE VIRGILIO PLAYGROUND,2
565,CRIMINAL MISCHIEF & RELATED OF, LINDEN PARK,1
566,CRIMINAL MISCHIEF & RELATED OF, LITTLE BAY PARK,1
567,CRIMINAL MISCHIEF & RELATED OF, LONDON PLANETREE PLAYGROUND,4
568,CRIMINAL MISCHIEF & RELATED OF, LORETO PLAYGROUND,1
569,CRIMINAL MISCHIEF & RELATED OF, LOUIS PASTEUR PARK,1
570,CRIMINAL MISCHIEF & RELATED OF, LT. LIA PLAYGROUND,1
571,CRIMINAL MISCHIEF & RELATED OF, LUNA PARK,1
572,CRIMINAL MISCHIEF & RELATED OF, LUTHER GULICK PLAYGROUND,1
573,CRIMINAL MISCHIEF & RELATED OF, MACNEIL PARK,1
574,CRIMINAL MISCHIEF & RELATED OF, MACOMBS DAM PARK,2
575,CRIMINAL MISCHIEF & RELATED OF, MAFERA PARK,1
576,CRIMINAL MISCHIEF & RELATED OF, MANHATTAN BEACH PARK,2
577,CRIMINAL MISCHIEF & RELATED OF, MAPLE PLAYGROUND,4
578,CRIMINAL MISCHIEF & RELATED OF, MARCUS GARVEY PARK,3
579,CRIMINAL MISCHIEF & RELATED OF, MARIA HERNANDEZ PARK,4
580,CRIMINAL MISCHIEF & RELATED OF, MARIE CURIE PARK,1
581,CRIMINAL MISCHIEF & RELATED OF, MARINE PARK,5
582,CRIMINAL MISCHIEF & RELATED OF, MARTINEZ PLAYGROUND,1
583,CRIMINAL MISCHIEF & RELATED OF, MCCAFFREY PLAYGROUND,1
584,CRIMINAL MISCHIEF & RELATED OF, MCCARREN PARK,1
585,CRIMINAL MISCHIEF & RELATED OF, MCDONALD PLAYGROUND BROOKLYN,2
586,CRIMINAL MISCHIEF & RELATED OF, MCGUIRE FIELDS,1
587,CRIMINAL MISCHIEF & RELATED OF, MELLETT PLAYGROUND,1
588,CRIMINAL MISCHIEF & RELATED OF, MIDDLE VILLAGE PLAYGROUND,1
589,CRIMINAL MISCHIEF & RELATED OF, MIDLAND FIELD,1
590,CRIMINAL MISCHIEF & RELATED OF, MOORE HOMESTEAD PLAYGROUND,4
591,CRIMINAL MISCHIEF & RELATED OF, MORNINGSIDE PARK,4
592,CRIMINAL MISCHIEF & RELATED OF, MOSHOLU PARKWAY,2
593,CRIMINAL MISCHIEF & RELATED OF, MOSHOLU PLAYGROUND,1
594,CRIMINAL MISCHIEF & RELATED OF, MOUNT PROSPECT PARK,1
595,CRIMINAL MISCHIEF & RELATED OF, MSGR. MCGOLRICK PARK,1
596,CRIMINAL MISCHIEF & RELATED OF, MULLALY PARK,1
597,CRIMINAL MISCHIEF & RELATED OF, MURRAY PLAYGROUND,1
598,CRIMINAL MISCHIEF & RELATED OF, NAUTILUS PLAYGROUND QUEENS,1
599,CRIMINAL MISCHIEF & RELATED OF, OAKLAND GARDENS,1
600,CRIMINAL MISCHIEF & RELATED OF, OLD TOWN PLAYGROUND,1
601,CRIMINAL MISCHIEF & RELATED OF," ""OWLS HEAD PARK""",3
602,CRIMINAL MISCHIEF & RELATED OF, PAERDEGAT BASIN PARK,1
603,CRIMINAL MISCHIEF & RELATED OF, PARADE GROUND,4
604,CRIMINAL MISCHIEF & RELATED OF, PARK SLOPE PLAYGROUND,1
605,CRIMINAL MISCHIEF & RELATED OF, PELHAM BAY PARK,3
606,CRIMINAL MISCHIEF & RELATED OF, PELHAM PARKWAY,2
607,CRIMINAL MISCHIEF & RELATED OF," ""PEOPLES PARK""",1
608,CRIMINAL MISCHIEF & RELATED OF, PETROSINO SQUARE,2
609,CRIMINAL MISCHIEF & RELATED OF, PINK PLAYGROUND,1
610,CRIMINAL MISCHIEF & RELATED OF, PLAYGROUND TWENTY ONE,2
611,CRIMINAL MISCHIEF & RELATED OF, POWELL PLAYGROUND,1
612,CRIMINAL MISCHIEF & RELATED OF, PROSPECT PARK,5
613,CRIMINAL MISCHIEF & RELATED OF, PUGSLEY CREEK PARK,1
614,CRIMINAL MISCHIEF & RELATED OF, RAINEY PARK BRONX,1
615,CRIMINAL MISCHIEF & RELATED OF," ""RANDALLS ISLAND PARK""",2
616,CRIMINAL MISCHIEF & RELATED OF, REAL GOOD PARK,1
617,CRIMINAL MISCHIEF & RELATED OF, RED HOOK RECREATION AREA,1
618,CRIMINAL MISCHIEF & RELATED OF, REIFF PLAYGROUND,1
619,CRIMINAL MISCHIEF & RELATED OF, RIVERSIDE PARK,13
620,CRIMINAL MISCHIEF & RELATED OF, ROCKAWAY BEACH AND BOARDWALK,5
621,CRIMINAL MISCHIEF & RELATED OF, ROCKAWAY COMMUNITY PARK,1
622,CRIMINAL MISCHIEF & RELATED OF," ""ROSEMARYS PLAYGROUND""",2
623,CRIMINAL MISCHIEF & RELATED OF, ROY WILKINS RECREATION CENTER,1
624,CRIMINAL MISCHIEF & RELATED OF, RUFUS KING PARK,1
625,CRIMINAL MISCHIEF & RELATED OF, SARA D. ROOSEVELT PARK,2
626,CRIMINAL MISCHIEF & RELATED OF, SETH LOW PLAYGROUND/ BEALIN SQUARE,1
627,CRIMINAL MISCHIEF & RELATED OF, SETON FALLS PARK,2
628,CRIMINAL MISCHIEF & RELATED OF, SETON PARK,2
629,CRIMINAL MISCHIEF & RELATED OF, SEWARD PARK,1
630,CRIMINAL MISCHIEF & RELATED OF, SHERMAN CREEK,1
631,CRIMINAL MISCHIEF & RELATED OF, SHORE PARK AND PARKWAY,4
632,CRIMINAL MISCHIEF & RELATED OF, SILVER LAKE PARK,1
633,CRIMINAL MISCHIEF & RELATED OF, SOUNDVIEW PARK,1
634,CRIMINAL MISCHIEF & RELATED OF, ST. JAMES PARK,1
635,CRIMINAL MISCHIEF & RELATED OF," ""ST. MARYS PARK BRONX""",3
636,CRIMINAL MISCHIEF & RELATED OF," ""ST. MICHAELS PARK""",1
637,CRIMINAL MISCHIEF & RELATED OF, ST. NICHOLAS PARK,1
638,CRIMINAL MISCHIEF & RELATED OF, ST. NICHOLAS PLAYGROUND SOUTH,1
639,CRIMINAL MISCHIEF & RELATED OF, STANLEY ISAACS PLAYGROUND,1
640,CRIMINAL MISCHIEF & RELATED OF, STAPLETON PLAYGROUND,1
641,CRIMINAL MISCHIEF & RELATED OF, STARLIGHT PARK,1
642,CRIMINAL MISCHIEF & RELATED OF, STEEPLECHASE PARK,1
643,CRIMINAL MISCHIEF & RELATED OF, STEUBEN PLAYGROUND,1
644,CRIMINAL MISCHIEF & RELATED OF, STUYVESANT SQUARE,1
645,CRIMINAL MISCHIEF & RELATED OF, SUNSET PARK,3
646,CRIMINAL MISCHIEF & RELATED OF, TAAFFE PLAYGROUND,1
647,CRIMINAL MISCHIEF & RELATED OF, TAPPEN PARK,1
648,CRIMINAL MISCHIEF & RELATED OF, TEN EYCK PLAYGROUND,1
649,CRIMINAL MISCHIEF & RELATED OF, THE CYCLONE,1
650,CRIMINAL MISCHIEF & RELATED OF, THE HIGH LINE,2
651,CRIMINAL MISCHIEF & RELATED OF, TOMPKINS SQUARE PARK,2
652,CRIMINAL MISCHIEF & RELATED OF, TOMPKINSVILLE PARK,1
653,CRIMINAL MISCHIEF & RELATED OF, TONY DAPOLITO RECREATION CENTER,1
654,CRIMINAL MISCHIEF & RELATED OF, TRAVERS PARK,1
655,CRIMINAL MISCHIEF & RELATED OF, TRIBECA PARK,1
656,CRIMINAL MISCHIEF & RELATED OF, TWO COVES COMMUNITY GARDEN,1
657,CRIMINAL MISCHIEF & RELATED OF, UNDERHILL PLAYGROUND,1
658,CRIMINAL MISCHIEF & RELATED OF, UNION SQUARE PARK,5
659,CRIMINAL MISCHIEF & RELATED OF, UNNAMED PARK ON 92ND STREET,1
660,CRIMINAL MISCHIEF & RELATED OF, UNNAMED PARK ON CROSS BRONX EXPRESSWAY & ANTHONY AVENUE,1
661,CRIMINAL MISCHIEF & RELATED OF, UNNAMED PARK ON E 102ND STREET,1
662,CRIMINAL MISCHIEF & RELATED OF, UNNAMED PARK ON RIVERSIDE DRIVE,2
663,CRIMINAL MISCHIEF & RELATED OF, UNNAMED PARK ON SOUNDVIEW AVENUE,1
664,CRIMINAL MISCHIEF & RELATED OF, VAN ALST PLAYGROUND,1
665,CRIMINAL MISCHIEF & RELATED OF, VAN CORTLANDT PARK,4
666,CRIMINAL MISCHIEF & RELATED OF, VERDI SQUARE,2
667,CRIMINAL MISCHIEF & RELATED OF, VESUVIO PLAYGROUND,1
668,CRIMINAL MISCHIEF & RELATED OF, WAGNER PLAYGROUND,1
669,CRIMINAL MISCHIEF & RELATED OF, WASHINGTON SQUARE PARK,1
670,CRIMINAL MISCHIEF & RELATED OF, WEST PLAYGROUND,1
671,CRIMINAL MISCHIEF & RELATED OF, WILLIAMSBRIDGE OVAL,3
672,CRIMINAL MISCHIEF & RELATED OF, WILLIS PLAYGROUND,2
673,CRIMINAL MISCHIEF & RELATED OF, WNYC TRANSMITTER PARK,1
674,CRIMINAL MISCHIEF & RELATED OF," ""WOLFES POND PARK""",1
675,CRIMINAL MISCHIEF & RELATED OF, YELLOWSTONE PARK,1
676,CRIMINAL TRESPASS, AHEARN PARK,1
677,CRIMINAL TRESPASS, ARCILLA PLAYGROUND,5
678,CRIMINAL TRESPASS, BAILEY PLAYGROUND,1
679,CRIMINAL TRESPASS, BEHAGEN PLAYGROUND,1
680,CRIMINAL TRESPASS, BRONX PARK,1
681,CRIMINAL TRESPASS, CENTRAL PARK,2
682,CRIMINAL TRESPASS, CHIEF DENNIS L. DEVLIN PARK,4
683,CRIMINAL TRESPASS, CICCARONE PARK,1
684,CRIMINAL TRESPASS, CLAREMONT PARK,34
685,CRIMINAL TRESPASS, COLEMAN PLAYGROUND,1
686,CRIMINAL TRESPASS, COLLEGE POINT PARK,1
687,CRIMINAL TRESPASS, COLUMBUS PARK AT MANHATTAN,1
688,CRIMINAL TRESPASS, CONCRETE PLANT PARK,1
689,CRIMINAL TRESPASS, CROTONA PARK,3
690,CRIMINAL TRESPASS, EAST ELMHURST PLAYGROUND,1
691,CRIMINAL TRESPASS, EAST RIVER PARK,13
692,CRIMINAL TRESPASS, FLUSHING MEADOWS CORONA PARK,3
693,CRIMINAL TRESPASS, FORT TRYON PARK,3
694,CRIMINAL TRESPASS, FRANZ SIGEL PARK,15
695,CRIMINAL TRESPASS, GOBLE PLAYGROUND,2
696,CRIMINAL TRESPASS, GRANT PARK,2
697,CRIMINAL TRESPASS, HAVEMEYER PLAYGROUND,1
698,CRIMINAL TRESPASS, HIGHBRIDGE PARK BRONX SIDE,2
699,CRIMINAL TRESPASS, HIGHBRIDGE PARK MANHATTAN SIDE,1
700,CRIMINAL TRESPASS, INWOOD PARK,3
701,CRIMINAL TRESPASS, JOYCE KILMER PARK,7
702,CRIMINAL TRESPASS, KOSCIUSZKO POOL,1
703,CRIMINAL TRESPASS, LAGUARDIA LANDING LIGHTS,1
704,CRIMINAL TRESPASS, LOUIS ARMSTRONG PLAYGROUND,1
705,CRIMINAL TRESPASS, LUNA PARK,1
706,CRIMINAL TRESPASS, MACOMBS DAM PARK,3
707,CRIMINAL TRESPASS, MAGENTA PLAYGROUND,1
708,CRIMINAL TRESPASS, MAPES POOL,1
709,CRIMINAL TRESPASS, MARCUS GARVEY PARK,4
710,CRIMINAL TRESPASS, MARTIN LUTHER KING PLAYGROUND,1
711,CRIMINAL TRESPASS, MCCAFFREY PLAYGROUND,4
712,CRIMINAL TRESPASS, MCGUIRE FIELDS,1
713,CRIMINAL TRESPASS, MERRIAM PLAYGROUND,18
714,CRIMINAL TRESPASS, MOTT PLAYGROUND,6
715,CRIMINAL TRESPASS, MULLALY PARK,27
