,OFNS_DESC,PARKS_NM,COUNT
575,GRAND LARCENY, CONEY ISLAND BEACH & BOARDWALK,90
890,PETIT LARCENY, CONEY ISLAND BEACH & BOARDWALK,57
40,ASSAULT 3 & RELATED OFFENSES, CONEY ISLAND BEACH & BOARDWALK,36
244,DANGEROUS DRUGS, DYKER BEACH PARK,35
560,GRAND LARCENY, BROOKLYN BRIDGE PARK,35
938,PETIT LARCENY, MCCARREN PARK,31
955,PETIT LARCENY, PROSPECT PARK,30
626,GRAND LARCENY, PROSPECT PARK,29
610,GRAND LARCENY, MCCARREN PARK,28
877,PETIT LARCENY, BROOKLYN BRIDGE PARK,25
