,OFNS_DESC,PARKS_NM,COUNT
220,DANGEROUS DRUGS, MACOMBS DAM PARK,94
279,DANGEROUS DRUGS, VAN CORTLANDT PARK,75
185,DANGEROUS DRUGS, CLAREMONT PARK,52
264,DANGEROUS DRUGS," ""ST. MARYS PARK BRONX""",47
200,DANGEROUS DRUGS, FRANZ SIGEL PARK,39
779,ROBBERY, CROTONA PARK,38
135,CRIMINAL TRESPASS, CLAREMONT PARK,34
493,GRAND LARCENY, MACOMBS DAM PARK,32
169,DANGEROUS DRUGS, AQUEDUCT WALK,31
176,DANGEROUS DRUGS, BRONX PARK,31
