,OFNS_DESC,PARKS_NM,COUNT
0,ADMINISTRATIVE CODE, P.O. SERRANO PLAYGROUND,1
505,GRAND LARCENY, SEDGWICK PLAYGROUND,1
506,GRAND LARCENY, SETON FALLS PARK,1
509,GRAND LARCENY, SPUYTEN DUYVIL PLAYGROUND,1
512,GRAND LARCENY, THE PEARLY GATES,1
513,GRAND LARCENY, TREMONT PARK,1
514,GRAND LARCENY, UNIVERSITY MALLS,1
515,GRAND LARCENY, UNNAMED PARK ON BAILEY AVENUE,1
504,GRAND LARCENY, SEABURY PARK,1
516,GRAND LARCENY, UNNAMED PARK ON CROSS BRONX EXPRESSWAY & ARTHUR AVENUE TO BELMONT AVENUE,1
