,OFNS_DESC,PARKS_NM,COUNT
701,PETIT LARCENY, CENTRAL PARK,166
405,GRAND LARCENY, CENTRAL PARK,109
204,DANGEROUS DRUGS, HARLEM RIVER PARK,88
217,DANGEROUS DRUGS, MARCUS GARVEY PARK,86
265,DANGEROUS DRUGS, WASHINGTON SQUARE PARK,85
491,HARRASSMENT 2, CENTRAL PARK,85
456,GRAND LARCENY," ""RANDALLS ISLAND PARK""",79
235,DANGEROUS DRUGS, RIVERSIDE PARK,69
750,PETIT LARCENY, RIVERSIDE PARK,65
18,ASSAULT 3 & RELATED OFFENSES, CENTRAL PARK,65
