,OFNS_DESC,PARKS_NM,COUNT
0,ADMINISTRATIVE CODE, BELT PARKWAY/SHORE PARKWAY,1
641,GRAND LARCENY, UNDERHILL PLAYGROUND,1
645,GRAND LARCENY OF MOTOR VEHICLE, PROSPECT PARK,1
646,HARRASSMENT 2, BELT PARKWAY/SHORE PARKWAY,1
647,HARRASSMENT 2, BENSON PLAYGROUND,1
649,HARRASSMENT 2, BREUKELEN BALLFIELDS,1
650,HARRASSMENT 2, BRIDGE PARK BROOKLYN,1
651,HARRASSMENT 2, BROOKLYN BOTANIC GARDEN,1
653,HARRASSMENT 2, BROOKLYN MUSEUM,1
655,HARRASSMENT 2, BUSHWICK PLAYGROUND ON KNICKERBOCKER AVENUE,1
