,OFNS_DESC,PARKS_NM,COUNT
107,ROBBERY, CLOVE LAKES PARK,11
42,DANGEROUS DRUGS, TOMPKINSVILLE PARK,6
33,DANGEROUS DRUGS, CPL. THOMPSON PARK,5
95,PETIT LARCENY, CLOVE LAKES PARK,4
118,ROBBERY, STAPLETON PLAYGROUND,3
1,ASSAULT 3 & RELATED OFFENSES, CLOVE LAKES PARK,3
76,INTOXICATED & IMPAIRED DRIVING, CONFERENCE HOUSE PARK,3
2,ASSAULT 3 & RELATED OFFENSES, CPL. THOMPSON PARK,3
119,ROBBERY, TAPPEN PARK,3
41,DANGEROUS DRUGS, TAPPEN PARK,2
