,MONTH,COUNT
5,Jul,146265
1,Aug,145425
8,May,142692
10,Oct,140868
6,Jun,140040
11,Sep,138434
7,Mar,132190
0,Apr,131570
4,Jan,129712
9,Nov,127365
2,Dec,123846
3,Feb,113229
