,MONTH,COUNT
5,Jul,93376
1,Aug,92254
8,May,91285
10,Oct,90610
6,Jun,89668
11,Sep,88633
7,Mar,85352
0,Apr,84557
4,Jan,83909
9,Nov,83376
2,Dec,82051
3,Feb,74712
