,MONTH,COUNT
1,Aug,113318
5,Jul,112108
10,Oct,111816
8,May,111464
6,Jun,109962
11,Sep,109040
7,Mar,106779
0,Apr,104815
4,Jan,104373
9,Nov,102333
2,Dec,101156
3,Feb,92373
