,MONTH,COUNT
10,Oct,22656
6,Jun,22561
5,Jul,22505
1,Aug,22495
11,Sep,22429
8,May,22427
7,Mar,21365
0,Apr,20908
9,Nov,20240
4,Jan,19792
2,Dec,19471
3,Feb,18020
