,MONTH,COUNT
1,Aug,102697
8,May,102434
5,Jul,102296
10,Oct,101246
11,Sep,99999
6,Jun,99196
7,Mar,96721
0,Apr,95680
4,Jan,94937
9,Nov,91456
2,Dec,87970
3,Feb,83427
