,KY_CD,OFNS_DESC,COUNT
76,881, OTHER TRAFFIC INFRACTION,1
71,676, NEW YORK CITY HEALTH CODE,1
57,362, OFFENSES AGAINST MARRIAGE UNCL,1
52,357, FORTUNE TELLING,1
75,685, ADMINISTRATIVE CODES,1
20,124, KIDNAPPING,1
69,672, LOITERING,2
65,460, LOITERING/DEVIATE SEX,3
61,364, OTHER STATE LAWS NON PENAL LAW,3
44,349, DISRUPTION OF A RELIGIOUS SERV,4
63,366, NEW YORK CITY HEALTH CODE,5
