,KY_CD,OFNS_DESC,COUNT
23,124, KIDNAPPING AND RELATED OFFENSES,2
59,362, OFFENSES AGAINST MARRIAGE UNCL,3
70,577, UNDER THE INFLUENCE OF DRUGS,3
20,123, ABORTION,4
63,364, OTHER STATE LAWS NON PENAL LAW,8
21,124, KIDNAPPING,9
79,881, OTHER TRAFFIC INFRACTION,10
54,357, FORTUNE TELLING,11
72,672, LOITERING,14
67,460, LOITERING/DEVIATE SEX,16
78,685, ADMINISTRATIVE CODES,19
