,KY_CD,OFNS_DESC,COUNT
34,341, PETIT LARCENY,147111
68,578, HARRASSMENT 2,142069
38,344, ASSAULT 3 & RELATED OFFENSES,137548
29,235, DANGEROUS DRUGS,114593
46,351, CRIMINAL MISCHIEF & RELATED OF,101590
56,361, OFF. AGNST PUB ORD SENSBLTY &,66275
5,109, GRAND LARCENY,58415
3,106, FELONY ASSAULT,52820
2,105, ROBBERY,47960
4,107, BURGLARY,35673
54,359, OFFENSES AGAINST PUBLIC ADMINI,32632
