,KY_CD,OFNS_DESC,COUNT
33,341, PETIT LARCENY,247174
64,578, HARRASSMENT 2,200437
37,344, ASSAULT 3 & RELATED OFFENSES,181733
45,351, CRIMINAL MISCHIEF & RELATED OF,142729
5,109, GRAND LARCENY,122232
28,235, DANGEROUS DRUGS,92819
54,361, OFF. AGNST PUB ORD SENSBLTY &,90481
2,105, ROBBERY,73033
4,107, BURGLARY,69511
3,106, FELONY ASSAULT,68062
22,126, MISCELLANEOUS PENAL LAW,48496
