,KY_CD,OFNS_DESC,COUNT
56,578, HARRASSMENT 2,47964
29,341, PETIT LARCENY,39625
39,351, CRIMINAL MISCHIEF & RELATED OF,31816
32,344, ASSAULT 3 & RELATED OFFENSES,24773
47,361, OFF. AGNST PUB ORD SENSBLTY &,20297
5,109, GRAND LARCENY,12212
24,235, DANGEROUS DRUGS,9207
46,359, OFFENSES AGAINST PUBLIC ADMINI,7330
4,107, BURGLARY,7313
3,106, FELONY ASSAULT,6017
36,347, INTOXICATED & IMPAIRED DRIVING,5768
