,KY_CD,OFNS_DESC,COUNT
36,341, PETIT LARCENY,880446
71,578, HARRASSMENT 2,660027
40,344, ASSAULT 3 & RELATED OFFENSES,564535
48,351, CRIMINAL MISCHIEF & RELATED OF,461883
5,109, GRAND LARCENY,456326
58,361, OFF. AGNST PUB ORD SENSBLTY &,300898
31,235, DANGEROUS DRUGS,297283
2,105, ROBBERY,208313
4,107, BURGLARY,201644
3,106, FELONY ASSAULT,200994
25,126, MISCELLANEOUS PENAL LAW,120982
