,KY_CD,OFNS_DESC,COUNT
33,341, PETIT LARCENY,168089
67,578, HARRASSMENT 2,137193
37,344, ASSAULT 3 & RELATED OFFENSES,112858
45,351, CRIMINAL MISCHIEF & RELATED OF,101811
5,109, GRAND LARCENY,84343
55,361, OFF. AGNST PUB ORD SENSBLTY &,61852
4,107, BURGLARY,52024
2,105, ROBBERY,42324
3,106, FELONY ASSAULT,38095
6,110, GRAND LARCENY OF MOTOR VEHICLE,33149
23,126, MISCELLANEOUS PENAL LAW,28101
