,KY_CD,OFNS_DESC,COUNT
34,341, PETIT LARCENY,278447
5,109, GRAND LARCENY,179124
69,578, HARRASSMENT 2,132364
38,344, ASSAULT 3 & RELATED OFFENSES,107623
46,351, CRIMINAL MISCHIEF & RELATED OF,83937
29,235, DANGEROUS DRUGS,66815
56,361, OFF. AGNST PUB ORD SENSBLTY &,61993
2,105, ROBBERY,40259
4,107, BURGLARY,37123
3,106, FELONY ASSAULT,36000
54,359, OFFENSES AGAINST PUBLIC ADMINI,26001
