,KY_CD,OFNS_DESC,COUNT
58,364, OTHER STATE LAWS NON PENAL LAW,2
26,233, SEX CRIMES,2
68,677, NYS LAWS-UNCLASSIFIED VIOLATION,3
53,360, LOITERING FOR DRUG PURPOSES,3
71,685, ADMINISTRATIVE CODES,4
19,124, KIDNAPPING,4
72,881, OTHER TRAFFIC INFRACTION,5
65,672, LOITERING,5
67,676, NEW YORK CITY HEALTH CODE,8
60,366, NEW YORK CITY HEALTH CODE,8
16,120, ENDAN WELFARE INCOMP,11
