,HADEVELOPT,COUNT
31,WOODSON,1
20,ROOSEVELT II,1
21,SMITH,1
12,LAFAYETTE,1
9,INDEPENDENCE,1
7,HOPE GARDENS,1
16,MITCHEL,1
3,BREUKELEN,1
1,ARMSTRONG II,1
6,GRANT,1
