,HADEVELOPT,COUNT
0,1010 EAST 178TH STREET,1
25,CLINTON,1
41,FRANKLIN AVENUE III MHOP,1
14,BRONXCHESTER,1
39,FRANKLIN AVENUE II MHOP,3
8,BETANCES VI,19
40,FRANKLIN AVENUE III CONVENTIONAL,22
5,BAYCHESTER,28
37,FRANKLIN AVENUE I MHOP,28
57,MIDDLETOWN PLAZA,32
