,HADEVELOPT,COUNT
61,CASTLE HILL,5952
252,VAN DYKE I,4800
156,MARCY,4478
55,BUTLER,4224
144,LINCOLN,4195
109,GRANT,4035
77,DOUGLASS,3967
145,LINDEN,3954
193,PINK,3859
87,FARRAGUT,3852
