,HADEVELOPT,COUNT
35,LINCOLN,4195
24,GRANT,4034
16,DOUGLASS,3966
8,BARUCH,3394
56,SMITH,2866
39,MANHATTANVILLE,2830
28,JOHNSON,2658
14,CLINTON,2272
49,RANGEL,2173
30,LA GUARDIA,2114
