,HADEVELOPT,COUNT
1,344 EAST 28TH STREET,1
27,JEFFERSON,1
21,FULTON,1
57,STAPLETON,1
46,METRO NORTH REHAB,2
43,MARCY AVENUE-GREENE AVENUE SITE B,3
71,WEST BRIGHTON I,4
69,WASHINGTON HEIGHTS REHAB GROUPS 1&2,6
72,WEST BRIGHTON II,9
52,ROBINSON,9
