,HADEVELOPT,COUNT
18,CASTLE HILL,5952
17,BUTLER,4224
15,BRONXDALE,3769
78,SOUNDVIEW,3636
83,THROGGS NECK,3439
61,MONROE,3066
60,MITCHEL,2858
73,PELHAM PARKWAY,2177
76,SAINT MARYS PARK,2168
12,BRONX RIVER,2071
