,HADEVELOPT,COUNT
100,VAN DYKE I,4800
59,MARCY,4414
56,LINDEN,3954
73,PINK,3859
35,FARRAGUT,3852
20,BROWNSVILLE,3750
21,BUSHWICK,3219
32,CYPRESS HILLS,3209
96,TOMPKINS,3207
77,RED HOOK WEST,3196
