,HADEVELOPT,COUNT
23,STAPLETON,2365
27,WEST BRIGHTON I,1954
19,RICHMOND TERRACE,1691
14,MARINERS HARBOR,1689
22,SOUTH BEACH,1172
24,TODT HILL,911
2,BERRY,866
15,MARKHAM GARDENS,152
5,CASSIDY-LAFAYETTE,139
28,WEST BRIGHTON II,77
