,HADEVELOPT,COUNT
25,CAMPOS PLAZA I,1
33,DOUGLASS,1
79,RIIS II,1
27,CASSIDY-LAFAYETTE,4
43,HABER,5
12,BERRY,6
87,STAPLETON,7
64,MITCHEL,7
8,BARUCH,9
97,UNION AVENUE-EAST 166TH STREET,10
