,HADEVELOPT,COUNT
0,1010 EAST 178TH STREET,1
92,FOREST HILLS COOP 108TH STREET-62ND DRIVE,1
100,FRANKLIN AVENUE III MHOP,1
101,FULTON,1
6,344 EAST 28TH STREET,1
46,BRONXCHESTER,1
131,JEFFERSON,1
165,METRO NORTH REHAB,2
98,FRANKLIN AVENUE II MHOP,3
112,HABER,5
