1,65186
10,45048
100,26426
101,43096
102,67593
103,85130
104,78365
105,77866
106,64994
107,54989
108,54224
109,84356
110,69496
111,33354
112,38169
113,79955
114,96497
115,85277
120,113228
121,23069
122,83329
123,35244
13,75895
14,125233
17,34595
18,83723
19,70272
20,43049
22,2638
23,70503
24,53069
25,71352
26,35134
28,57132
30,52329
32,74843
33,47265
34,57398
40,127416
41,75445
42,84138
43,143905
44,131878
45,65924
46,116682
47,95870
48,86761
49,71401
5,47986
50,48422
52,110211
6,57094
60,65397
61,67681
62,65321
63,57624
66,52155
67,101892
68,54759
69,53175
7,43779
70,85093
71,76820
72,58013
73,112729
75,174899
76,30634
77,80940
78,37290
79,85995
81,68556
83,72972
84,55130
88,48193
9,66022
90,70114
94,36247
