,KY_CD,OFSC_DESC,COUNT
35,344, ASSAULT 3 & RELATED OFFENSES,23401
31,341, PETIT LARCENY,19536
26,235, DANGEROUS DRUGS,18988
61,578, HARRASSMENT 2,18688
42,351, CRIMINAL MISCHIEF & RELATED OF,13662
5,109, GRAND LARCENY,9723
51,361, OFF. AGNST PUB ORD SENSBLTY &,9236
3,106, FELONY ASSAULT,8988
2,105, ROBBERY,8499
21,126, MISCELLANEOUS PENAL LAW,6626
