,KY_CD,OFSC_DESC,COUNT
19,238, FRAUDULENT ACCOSTING,1
15,230, JOSTLING,1
13,125, NYS LAWS-UNCLASSIFIED FELONY,1
12,124, KIDNAPPING & RELATED OFFENSES,1
33,364, AGRICULTURE & MRKTS LAW-UNCLASSIFIED,1
8,114, ARSON,1
22,343, OTHER OFFENSES RELATED TO THEF,2
4,110, GRAND LARCENY OF MOTOR VEHICLE,3
34,364, OTHER STATE LAWS NON PENAL LA,3
36,572, DISORDERLY CONDUCT,3
