,OFNS_DESC,HADEVELOPT,COUNT
304,VEHICLE AND TRAFFIC LAWS, WEST BRIGHTON II,1
175,KIDNAPPING & RELATED OFFENSES, BERRY,1
177,KIDNAPPING & RELATED OFFENSES, TODT HILL,1
81,DANGEROUS WEAPONS, MARKHAM GARDENS,1
181,MISCELLANEOUS PENAL LAW, CASSIDY-LAFAYETTE,1
188,MISCELLANEOUS PENAL LAW, VLADECK II,1
190,MISCELLANEOUS PENAL LAW, WEST BRIGHTON II,1
192,NYS LAWS-UNCLASSIFIED FELONY, STAPLETON,1
195,OFF. AGNST PUB ORD SENSBLTY &, AMSTERDAM,1
199,OFF. AGNST PUB ORD SENSBLTY &, HOPE GARDENS,1
