,OFNS_DESC,HADEVELOPT,COUNT
297,CRIMINAL TRESPASS, LINCOLN,976
351,DANGEROUS DRUGS, LINCOLN,920
733,HARRASSMENT 2, DOUGLASS,690
280,CRIMINAL TRESPASS, DOUGLASS,673
741,HARRASSMENT 2, GRANT,656
725,HARRASSMENT 2, BARUCH,557
290,CRIMINAL TRESPASS, JOHNSON,557
95,ASSAULT 3 & RELATED OFFENSES, GRANT,543
344,DANGEROUS DRUGS, JOHNSON,482
80,ASSAULT 3 & RELATED OFFENSES, BARUCH,481
