,OFNS_DESC,HADEVELOPT,COUNT
192,HARRASSMENT 2, POMONOK,668
33,ASSAULT 3 & RELATED OFFENSES, POMONOK,497
63,CRIMINAL MISCHIEF & RELATED OF, POMONOK,489
246,OFF. AGNST PUB ORD SENSBLTY &, POMONOK,354
183,HARRASSMENT 2, ASTORIA,336
24,ASSAULT 3 & RELATED OFFENSES, ASTORIA,331
195,HARRASSMENT 2, REDFERN,266
185,HARRASSMENT 2, BAYSIDE-OCEAN BAY APTS,260
189,HARRASSMENT 2, HAMMEL,250
36,ASSAULT 3 & RELATED OFFENSES, REDFERN,246
