,OFNS_DESC,HADEVELOPT,COUNT
1547,DANGEROUS DRUGS, MARCY,1252
1459,DANGEROUS DRUGS, CASTLE HILL,1044
392,ASSAULT 3 & RELATED OFFENSES, CASTLE HILL,1034
1286,CRIMINAL TRESPASS, LINCOLN,976
1453,DANGEROUS DRUGS, BUTLER,943
1535,DANGEROUS DRUGS, LINCOLN,920
3455,HARRASSMENT 2, VAN DYKE I,889
574,ASSAULT 3 & RELATED OFFENSES, VAN DYKE I,887
1445,DANGEROUS DRUGS, BRONXDALE,807
3271,HARRASSMENT 2, CASTLE HILL,769
