,OFNS_DESC,HADEVELOPT,COUNT
19,ASSAULT 3 & RELATED OFFENSES, STAPLETON,427
161,HARRASSMENT 2, STAPLETON,424
164,HARRASSMENT 2, WEST BRIGHTON I,386
159,HARRASSMENT 2, RICHMOND TERRACE,374
21,ASSAULT 3 & RELATED OFFENSES, WEST BRIGHTON I,347
160,HARRASSMENT 2, SOUTH BEACH,335
156,HARRASSMENT 2," ""MARINERS HARBOR""",322
17,ASSAULT 3 & RELATED OFFENSES, RICHMOND TERRACE,296
50,CRIMINAL MISCHIEF & RELATED OF, STAPLETON,285
152,HARRASSMENT 2, BERRY,270
